"","Subset","I don't know","No","Refuse to answer (DO NOT READ)","Yes"
"1","Abyan","33% ","24% ","20% ","24% "
"2","Aden","32% ","30% ","12% ","25% "
"3","Al Bayda","31% ","23% ","17% ","29% "
"4","Al Dhale'e","28% ","28% ","22% ","22% "
"5","Al Hudaydah","21% ","23% ","26% ","31% "
"6","Al Jawf","28% ","18% ","20% ","34% "
"7","Al Maharah","26% ","8% ","24% ","42% "
"8","Al Mahwit","32% ","26% ","23% ","19% "
"9","Amanat Al Asimah","31% ","18% ","29% ","22% "
"10","Amran","14% ","31% ","25% ","29% "
"11","Dhamar","27% ","23% ","23% ","27% "
"12","Hadramaut","29% ","19% ","15% ","38% "
"13","Hajjah","22% ","20% ","27% ","31% "
"14","Ibb","24% ","37% ","20% ","20% "
"15","Lahj","33% ","20% ","24% ","22% "
"16","Marib","28% ","18% ","18% ","36% "
"17","Raymah","33% ","18% ","22% ","27% "
"18","Sa'ada","12% ","35% ","25% ","27% "
"19","Sana'a","16% ","33% ","24% ","27% "
"20","Shabwah","18% ","27% ","21% ","33% "
"21","Socotra","25% ","28% ","20% ","28% "
"22","Taizz","19% ","25% ","27% ","29% "
