"","Average","Subset"
"1","20 ","Hajjah"
"2","19.94 ","Marib"
"3","19.84 ","Amran"
"4","20.18 ","Socotra"
"5","20.34 ","Amanat Al Asimah"
"6","20.08 ","Abyan"
"7","20.21 ","Al Bayda"
"8","19.72 ","Al Mahwit"
"9","19.87 ","Shabwah"
"10","19.83 ","Al Jawf"
"11","19.7 ","Dhamar"
"12","20.18 ","Al Hudaydah"
"13","20.32 ","Sana'a"
"14","20.07 ","Al Dhale'e"
"15","20.36 ","Sa'ada"
"16","19.81 ","Al Maharah"
"17","20.2 ","Ibb"
"18","20.12 ","Raymah"
"19","19.9 ","Aden"
"20","19.83 ","Hadramaut"
"21","19.71 ","Lahj"
"22","20 ","Taizz"
