"","Subset","I don't know","No","Refuse to answer (DO NOT READ)","Yes"
"1","Abyan","25% ","27% ","18% ","30% "
"2","Aden","17% ","24% ","26% ","33% "
"3","Al Bayda","30% ","23% ","28% ","19% "
"4","Al Dhale'e","30% ","30% ","20% ","20% "
"5","Al Hudaydah","39% ","29% ","13% ","18% "
"6","Al Jawf","23% ","17% ","38% ","23% "
"7","Al Maharah","31% ","30% ","21% ","18% "
"8","Al Mahwit","30% ","28% ","16% ","26% "
"9","Amanat Al Asimah","27% ","21% ","24% ","27% "
"10","Amran","17% ","34% ","22% ","27% "
"11","Dhamar","31% ","36% ","18% ","15% "
"12","Hadramaut","18% ","38% ","28% ","15% "
"13","Hajjah","14% ","31% ","29% ","26% "
"14","Ibb","23% ","31% ","23% ","23% "
"15","Lahj","22% ","20% ","22% ","36% "
"16","Marib","19% ","21% ","26% ","34% "
"17","Raymah","24% ","33% ","20% ","24% "
"18","Sa'ada","23% ","25% ","31% ","21% "
"19","Sana'a","25% ","17% ","29% ","29% "
"20","Shabwah","26% ","26% ","23% ","26% "
"21","Socotra","15% ","36% ","23% ","26% "
"22","Taizz","17% ","29% ","29% ","26% "
