"","Average","Subset"
"1","19.96 ","Hajjah"
"2","19.68 ","Marib"
"3","20.26 ","Amran"
"4","19.77 ","Socotra"
"5","20.27 ","Amanat Al Asimah"
"6","19.85 ","Abyan"
"7","20.51 ","Al Bayda"
"8","20.13 ","Al Mahwit"
"9","20.41 ","Shabwah"
"10","19.86 ","Al Jawf"
"11","19.89 ","Dhamar"
"12","20.16 ","Al Hudaydah"
"13","20.83 ","Sana'a"
"14","20.14 ","Al Dhale'e"
"15","20.25 ","Sa'ada"
"16","19.93 ","Al Maharah"
"17","19.85 ","Ibb"
"18","20.21 ","Raymah"
"19","20.02 ","Aden"
"20","19.74 ","Hadramaut"
"21","20.11 ","Lahj"
"22","19.87 ","Taizz"
