"","Subset","Peri-Urban","Rural","Urban"
"1","Abyan","40% ","23% ","38% "
"2","Aden","23% ","31% ","46% "
"3","Al Bayda","26% ","21% ","54% "
"4","Al Dhale'e","29% ","43% ","29% "
"5","Al Hudaydah","39% ","29% ","31% "
"6","Al Jawf","29% ","31% ","40% "
"7","Al Maharah","21% ","49% ","30% "
"8","Al Mahwit","31% ","28% ","41% "
"9","Amanat Al Asimah","34% ","46% ","20% "
"10","Amran","40% ","25% ","35% "
"11","Dhamar","36% ","36% ","28% "
"12","Hadramaut","31% ","33% ","36% "
"13","Hajjah","32% ","36% ","32% "
"14","Ibb","32% ","30% ","38% "
"15","Lahj","51% ","29% ","20% "
"16","Marib","23% ","43% ","34% "
"17","Raymah","35% ","33% ","31% "
"18","Sa'ada","27% ","45% ","27% "
"19","Sana'a","32% ","30% ","38% "
"20","Shabwah","20% ","37% ","43% "
"21","Socotra","45% ","27% ","27% "
"22","Taizz","33% ","39% ","28% "
