"","Subset","I don't know","No","Refuse to answer (DO NOT READ)","Yes"
"1","Abyan","23% ","15% ","29% ","33% "
"2","Aden","23% ","21% ","23% ","33% "
"3","Al Bayda","23% ","31% ","18% ","28% "
"4","Al Dhale'e","26% ","36% ","21% ","17% "
"5","Al Hudaydah","22% ","24% ","31% ","24% "
"6","Al Jawf","26% ","26% ","26% ","21% "
"7","Al Maharah","44% ","21% ","16% ","19% "
"8","Al Mahwit","15% ","26% ","28% ","31% "
"9","Amanat Al Asimah","27% ","12% ","29% ","32% "
"10","Amran","30% ","30% ","16% ","25% "
"11","Dhamar","34% ","15% ","26% ","26% "
"12","Hadramaut","31% ","19% ","31% ","19% "
"13","Hajjah","30% ","23% ","23% ","23% "
"14","Ibb","22% ","25% ","22% ","30% "
"15","Lahj","34% ","11% ","34% ","20% "
"16","Marib","17% ","15% ","43% ","26% "
"17","Raymah","25% ","23% ","25% ","27% "
"18","Sa'ada","20% ","30% ","34% ","16% "
"19","Sana'a","13% ","19% ","21% ","47% "
"20","Shabwah","17% ","37% ","28% ","17% "
"21","Socotra","39% ","20% ","20% ","20% "
"22","Taizz","20% ","19% ","30% ","31% "
