"","Subset","A few (around 25%)","About half (around 50%)","Everyone (around 100%)","I don't know","Most (around 75%)","Nobody (around 0%)","Refuse to answer (DO NOT READ)"
"1","Abyan","10% ","12% ","27% ","15% ","17% ","6% ","12% "
"2","Aden","15% ","15% ","10% ","15% ","19% ","10% ","17% "
"3","Al Bayda","10% ","18% ","15% ","18% ","13% ","8% ","18% "
"4","Al Dhale'e","14% ","12% ","12% ","17% ","7% ","19% ","19% "
"5","Al Hudaydah","12% ","14% ","18% ","16% ","16% ","8% ","18% "
"6","Al Jawf","10% ","10% ","2% ","14% ","33% ","10% ","21% "
"7","Al Maharah","14% ","16% ","21% ","19% ","19% ","5% ","7% "
"8","Al Mahwit","8% ","21% ","23% ","18% ","5% ","13% ","13% "
"9","Amanat Al Asimah","17% ","20% ","7% ","5% ","27% ","12% ","12% "
"10","Amran","16% ","14% ","16% ","19% ","14% ","14% ","7% "
"11","Dhamar","13% ","11% ","9% ","15% ","26% ","9% ","19% "
"12","Hadramaut","12% ","12% ","14% ","14% ","12% ","21% ","14% "
"13","Hajjah","20% ","12% ","9% ","14% ","11% ","16% ","18% "
"14","Ibb","8% ","8% ","8% ","12% ","20% ","10% ","35% "
"15","Lahj","17% ","11% ","14% ","14% ","17% ","9% ","17% "
"16","Marib","9% ","23% ","17% ","6% ","9% ","21% ","15% "
"17","Raymah","8% ","17% ","21% ","15% ","17% ","8% ","15% "
"18","Sa'ada","9% ","16% ","14% ","23% ","16% ","11% ","11% "
"19","Sana'a","11% ","15% ","15% ","17% ","19% ","9% ","15% "
"20","Shabwah","24% ","4% ","20% ","9% ","11% ","26% ","7% "
"21","Socotra","18% ","16% ","16% ","5% ","14% ","16% ","16% "
"22","Taizz","19% ","9% ","11% ","13% ","15% ","19% ","15% "
