"","Subset","I don't know","No","Refuse to answer (DO NOT READ)","Yes"
"1","Abyan","31% ","38% ","21% ","10% "
"2","Aden","12% ","27% ","29% ","31% "
"3","Al Bayda","21% ","31% ","26% ","23% "
"4","Al Dhale'e","12% ","29% ","33% ","26% "
"5","Al Hudaydah","27% ","16% ","33% ","24% "
"6","Al Jawf","17% ","21% ","36% ","26% "
"7","Al Maharah","26% ","26% ","16% ","33% "
"8","Al Mahwit","21% ","23% ","15% ","41% "
"9","Amanat Al Asimah","29% ","20% ","32% ","20% "
"10","Amran","25% ","30% ","25% ","21% "
"11","Dhamar","23% ","19% ","34% ","23% "
"12","Hadramaut","21% ","29% ","29% ","21% "
"13","Hajjah","25% ","21% ","29% ","25% "
"14","Ibb","25% ","28% ","20% ","28% "
"15","Lahj","14% ","37% ","20% ","29% "
"16","Marib","28% ","21% ","26% ","26% "
"17","Raymah","15% ","25% ","31% ","29% "
"18","Sa'ada","32% ","25% ","23% ","20% "
"19","Sana'a","32% ","19% ","21% ","28% "
"20","Shabwah","30% ","15% ","22% ","33% "
"21","Socotra","25% ","14% ","41% ","20% "
"22","Taizz","26% ","28% ","22% ","24% "
