"","Subset","I don't know","No","Refuse to answer (DO NOT READ)","Yes"
"1","Abyan","12% ","40% ","25% ","23% "
"2","Aden","31% ","27% ","21% ","21% "
"3","Al Bayda","28% ","18% ","33% ","21% "
"4","Al Dhale'e","26% ","29% ","14% ","31% "
"5","Al Hudaydah","37% ","18% ","25% ","20% "
"6","Al Jawf","29% ","24% ","19% ","29% "
"7","Al Maharah","30% ","28% ","21% ","21% "
"8","Al Mahwit","21% ","28% ","23% ","28% "
"9","Amanat Al Asimah","20% ","32% ","20% ","29% "
"10","Amran","26% ","26% ","23% ","25% "
"11","Dhamar","30% ","26% ","28% ","17% "
"12","Hadramaut","33% ","14% ","26% ","26% "
"13","Hajjah","34% ","25% ","20% ","21% "
"14","Ibb","32% ","12% ","28% ","28% "
"15","Lahj","26% ","34% ","14% ","26% "
"16","Marib","19% ","26% ","19% ","36% "
"17","Raymah","25% ","19% ","17% ","40% "
"18","Sa'ada","23% ","27% ","20% ","30% "
"19","Sana'a","26% ","23% ","23% ","28% "
"20","Shabwah","13% ","26% ","37% ","24% "
"21","Socotra","27% ","32% ","23% ","18% "
"22","Taizz","24% ","26% ","30% ","20% "
