"","Subset","Going to the market is dangerous","I don't know","Other (please specify):","Refuse to answer (DO NOT READ)","Soap is not available at the market","Soap is too expensive for some people","Some groups (children, women, elderly, ethnic minorities, IDPs, etc.) do not have access to the market","Some people do not like the quality of the soap","The market is too far away"
"1","Abyan","8% ","10% ","10% ","4% ","17% ","6% ","10% ","17% ","17% "
"2","Aden","8% ","10% ","12% ","17% ","12% ","15% ","4% ","8% ","12% "
"3","Al Bayda","8% ","8% ","10% ","33% ","10% ","3% ","5% ","10% ","13% "
"4","Al Dhale'e","7% ","5% ","10% ","17% ","14% ","12% ","26% ","5% ","5% "
"5","Al Hudaydah","14% ","18% ","14% ","16% ","8% ","4% ","16% ","4% ","8% "
"6","Al Jawf","12% ","14% ","21% ","10% ","7% ","7% ","14% ","10% ","5% "
"7","Al Maharah","19% ","12% ","12% ","12% ","7% ","19% ","7% ","9% ","5% "
"8","Al Mahwit","23% ","15% ","13% ","10% ","5% ","5% ","15% ","3% ","10% "
"9","Amanat Al Asimah","17% ","15% ","7% ","12% ","5% ","2% ","20% ","7% ","15% "
"10","Amran","11% ","16% ","4% ","18% ","9% ","16% ","5% ","9% ","14% "
"11","Dhamar","9% ","13% ","17% ","15% ","6% ","6% ","13% ","17% ","4% "
"12","Hadramaut","2% ","14% ","5% ","14% ","14% ","5% ","14% ","19% ","12% "
"13","Hajjah","5% ","7% ","14% ","7% ","14% ","16% ","12% ","11% ","12% "
"14","Ibb","12% ","10% ","22% ",NA,"12% ","10% ","10% ","10% ","12% "
"15","Lahj","29% ","11% ","9% ","11% ","11% ","11% ",NA,"9% ","9% "
"16","Marib","9% ","13% ","17% ","2% ","13% ","13% ","19% ","9% ","6% "
"17","Raymah","12% ","15% ","6% ","6% ","10% ","15% ","10% ","8% ","17% "
"18","Sa'ada","2% ","18% ","14% ","9% ","14% ","18% ","14% ","2% ","9% "
"19","Sana'a","9% ","15% ","4% ","19% ","6% ","11% ","11% ","19% ","6% "
"20","Shabwah","15% ","17% ","9% ","13% ","11% ","7% ","4% ","11% ","13% "
"21","Socotra","16% ","7% ","9% ","11% ","9% ","14% ","16% ","11% ","7% "
"22","Taizz","13% ","9% ","9% ","6% ","6% ","7% ","22% ","17% ","11% "
