"","Subset","I don't know","No","Refuse to answer (DO NOT READ)","Yes"
"1","Abyan","29% ","15% ","29% ","27% "
"2","Aden","25% ","27% ","23% ","25% "
"3","Al Bayda","33% ","26% ","13% ","28% "
"4","Al Dhale'e","29% ","26% ","17% ","29% "
"5","Al Hudaydah","25% ","22% ","20% ","33% "
"6","Al Jawf","21% ","21% ","38% ","19% "
"7","Al Maharah","30% ","19% ","30% ","21% "
"8","Al Mahwit","15% ","36% ","15% ","33% "
"9","Amanat Al Asimah","22% ","24% ","37% ","17% "
"10","Amran","28% ","23% ","23% ","26% "
"11","Dhamar","38% ","19% ","26% ","17% "
"12","Hadramaut","31% ","24% ","24% ","21% "
"13","Hajjah","25% ","21% ","25% ","29% "
"14","Ibb","32% ","12% ","35% ","20% "
"15","Lahj","23% ","31% ","26% ","20% "
"16","Marib","21% ","28% ","32% ","19% "
"17","Raymah","38% ","21% ","19% ","23% "
"18","Sa'ada","30% ","30% ","25% ","16% "
"19","Sana'a","23% ","21% ","38% ","17% "
"20","Shabwah","28% ","22% ","35% ","15% "
"21","Socotra","16% ","30% ","25% ","30% "
"22","Taizz","22% ","28% ","26% ","24% "
