"","Subset","I don't know","No","Refuse to answer (DO NOT READ)","Yes"
"1","Abyan","25% ","23% ","33% ","19% "
"2","Aden","31% ","29% ","17% ","23% "
"3","Al Bayda","21% ","26% ","28% ","26% "
"4","Al Dhale'e","26% ","17% ","31% ","26% "
"5","Al Hudaydah","33% ","16% ","27% ","24% "
"6","Al Jawf","14% ","33% ","21% ","31% "
"7","Al Maharah","9% ","42% ","21% ","28% "
"8","Al Mahwit","44% ","21% ","23% ","13% "
"9","Amanat Al Asimah","15% ","37% ","37% ","12% "
"10","Amran","25% ","37% ","14% ","25% "
"11","Dhamar","21% ","23% ","30% ","26% "
"12","Hadramaut","26% ","21% ","31% ","21% "
"13","Hajjah","45% ","20% ","14% ","21% "
"14","Ibb","30% ","12% ","48% ","10% "
"15","Lahj","37% ","23% ","20% ","20% "
"16","Marib","17% ","30% ","17% ","36% "
"17","Raymah","25% ","29% ","25% ","21% "
"18","Sa'ada","23% ","27% ","25% ","25% "
"19","Sana'a","26% ","21% ","30% ","23% "
"20","Shabwah","35% ","24% ","22% ","20% "
"21","Socotra","20% ","25% ","27% ","27% "
"22","Taizz","28% ","26% ","20% ","26% "
