"","Subset","I don't know","No","Refuse to answer (DO NOT READ)","Yes"
"1","Abyan","31% ","35% ","10% ","23% "
"2","Aden","25% ","33% ","21% ","21% "
"3","Al Bayda","26% ","28% ","23% ","23% "
"4","Al Dhale'e","31% ","19% ","33% ","17% "
"5","Al Hudaydah","18% ","16% ","41% ","25% "
"6","Al Jawf","36% ","17% ","26% ","21% "
"7","Al Maharah","26% ","26% ","23% ","26% "
"8","Al Mahwit","18% ","21% ","28% ","33% "
"9","Amanat Al Asimah","24% ","22% ","29% ","24% "
"10","Amran","18% ","33% ","30% ","19% "
"11","Dhamar","30% ","26% ","21% ","23% "
"12","Hadramaut","21% ","38% ","14% ","26% "
"13","Hajjah","32% ","25% ","20% ","23% "
"14","Ibb","30% ","22% ","22% ","25% "
"15","Lahj","20% ","37% ","17% ","26% "
"16","Marib","28% ","28% ","17% ","28% "
"17","Raymah","25% ","23% ","33% ","19% "
"18","Sa'ada","30% ","20% ","30% ","20% "
"19","Sana'a","26% ","19% ","26% ","30% "
"20","Shabwah","33% ","24% ","22% ","22% "
"21","Socotra","18% ","30% ","20% ","32% "
"22","Taizz","20% ","28% ","24% ","28% "
