"","Subset","Female child (under 15 years)","I don't know","Male child (under 15 years)","Men","Refuse to answer (DO NOT READ)","Women"
"1","Abyan","10% ","27% ","23% ","10% ","12% ","17% "
"2","Aden","19% ","21% ","19% ","15% ","8% ","19% "
"3","Al Bayda","13% ","23% ","10% ","13% ","18% ","23% "
"4","Al Dhale'e","7% ","10% ","19% ","26% ","21% ","17% "
"5","Al Hudaydah","8% ","16% ","20% ","16% ","12% ","29% "
"6","Al Jawf","12% ","17% ","33% ","17% ","12% ","10% "
"7","Al Maharah","14% ","14% ","21% ","14% ","16% ","21% "
"8","Al Mahwit","15% ","13% ","13% ","18% ","18% ","23% "
"9","Amanat Al Asimah","15% ","10% ","17% ","12% ","24% ","22% "
"10","Amran","11% ","21% ","16% ","19% ","21% ","12% "
"11","Dhamar","15% ","19% ","4% ","23% ","23% ","15% "
"12","Hadramaut","26% ","17% ","19% ","12% ","17% ","10% "
"13","Hajjah","23% ","18% ","16% ","18% ","18% ","7% "
"14","Ibb","15% ","15% ","12% ","28% ","20% ","10% "
"15","Lahj","9% ","17% ","29% ","14% ","17% ","14% "
"16","Marib","19% ","28% ","9% ","15% ","13% ","17% "
"17","Raymah","25% ","27% ","21% ","10% ","4% ","12% "
"18","Sa'ada","16% ","20% ","7% ","14% ","18% ","25% "
"19","Sana'a","15% ","15% ","13% ","23% ","17% ","17% "
"20","Shabwah","15% ","17% ","9% ","9% ","24% ","26% "
"21","Socotra","25% ","11% ","7% ","32% ","9% ","16% "
"22","Taizz","7% ","22% ","24% ","17% ","17% ","13% "
