"","Subset","A few (around 25%)","About half (around 50%)","Everyone (around 100%)","I don't know","Most (around 75%)","Nobody (around 0%)","Refuse to answer (DO NOT READ)"
"1","Abyan","4% ","15% ","19% ","8% ","21% ","23% ","10% "
"2","Aden","25% ","19% ","10% ","15% ","2% ","12% ","17% "
"3","Al Bayda","18% ","15% ","8% ","15% ","18% ","10% ","15% "
"4","Al Dhale'e","26% ","2% ","14% ","14% ","5% ","19% ","19% "
"5","Al Hudaydah","6% ","16% ","14% ","24% ","14% ","14% ","14% "
"6","Al Jawf","14% ","17% ","17% ","10% ","14% ","19% ","10% "
"7","Al Maharah","14% ","9% ","12% ","12% ","14% ","19% ","21% "
"8","Al Mahwit","18% ","15% ","10% ","8% ","5% ","13% ","31% "
"9","Amanat Al Asimah","17% ","17% ","17% ","12% ","12% ","15% ","10% "
"10","Amran","9% ","19% ","19% ","14% ","12% ","18% ","9% "
"11","Dhamar","11% ","13% ","13% ","11% ","19% ","21% ","13% "
"12","Hadramaut","7% ","17% ","17% ","12% ","17% ","17% ","14% "
"13","Hajjah","16% ","14% ","18% ","16% ","14% ","5% ","16% "
"14","Ibb","12% ","10% ","20% ","20% ","15% ","15% ","8% "
"15","Lahj","9% ","11% ","23% ","14% ","14% ","17% ","11% "
"16","Marib","15% ","15% ","9% ","15% ","11% ","21% ","15% "
"17","Raymah","19% ","8% ","19% ","17% ","15% ","10% ","12% "
"18","Sa'ada","11% ","9% ","20% ","11% ","23% ","14% ","11% "
"19","Sana'a","17% ","13% ","15% ","15% ","15% ","11% ","15% "
"20","Shabwah","15% ","24% ","9% ","9% ","15% ","13% ","15% "
"21","Socotra","11% ","11% ","7% ","16% ","11% ","18% ","25% "
"22","Taizz","6% ","24% ","17% ","7% ","13% ","22% ","11% "
