"","Subset","I don't know","No","Refuse to answer (DO NOT READ)","Yes"
"1","Abyan","27% ","15% ","27% ","31% "
"2","Aden","31% ","25% ","19% ","25% "
"3","Al Bayda","28% ","23% ","28% ","21% "
"4","Al Dhale'e","26% ","31% ","26% ","17% "
"5","Al Hudaydah","35% ","14% ","25% ","25% "
"6","Al Jawf","12% ","36% ","26% ","26% "
"7","Al Maharah","30% ","21% ","26% ","23% "
"8","Al Mahwit","36% ","23% ","26% ","15% "
"9","Amanat Al Asimah","22% ","27% ","17% ","34% "
"10","Amran","28% ","23% ","25% ","25% "
"11","Dhamar","26% ","23% ","23% ","28% "
"12","Hadramaut","21% ","29% ","33% ","17% "
"13","Hajjah","21% ","27% ","21% ","30% "
"14","Ibb","32% ","25% ","20% ","22% "
"15","Lahj","23% ","26% ","20% ","31% "
"16","Marib","15% ","17% ","26% ","43% "
"17","Raymah","19% ","27% ","29% ","25% "
"18","Sa'ada","34% ","23% ","23% ","20% "
"19","Sana'a","19% ","23% ","23% ","34% "
"20","Shabwah","17% ","28% ","33% ","22% "
"21","Socotra","23% ","32% ","25% ","20% "
"22","Taizz","26% ","22% ","28% ","24% "
