"","Subset","A few (around 25%)","About half (around 50%)","Everyone (around 100%)","I don't know","Most (around 75%)","Nobody (around 0%)","Refuse to answer (DO NOT READ)"
"1","Abyan","29% ","15% ","6% ","6% ","17% ","15% ","12% "
"2","Aden","10% ","15% ","15% ","21% ","12% ","12% ","15% "
"3","Al Bayda","13% ","18% ","8% ","15% ","15% ","23% ","8% "
"4","Al Dhale'e","12% ","12% ","21% ","21% ","21% ","5% ","7% "
"5","Al Hudaydah","14% ","10% ","25% ","18% ","12% ","10% ","12% "
"6","Al Jawf","24% ","12% ","17% ","17% ","7% ","17% ","7% "
"7","Al Maharah","19% ","16% ","16% ","5% ","16% ","14% ","14% "
"8","Al Mahwit","10% ","15% ","18% ","21% ","23% ","8% ","5% "
"9","Amanat Al Asimah","12% ","15% ","15% ","15% ","17% ","12% ","15% "
"10","Amran","12% ","7% ","19% ","12% ","19% ","16% ","14% "
"11","Dhamar","17% ","13% ","4% ","23% ","11% ","15% ","17% "
"12","Hadramaut","10% ","17% ","7% ","14% ","14% ","17% ","21% "
"13","Hajjah","16% ","14% ","11% ","11% ","11% ","11% ","27% "
"14","Ibb","15% ","10% ","15% ","22% ","10% ","10% ","18% "
"15","Lahj","6% ","9% ","23% ","11% ","17% ","20% ","14% "
"16","Marib","15% ","15% ","13% ","17% ","11% ","19% ","11% "
"17","Raymah","6% ","10% ","8% ","10% ","21% ","23% ","21% "
"18","Sa'ada","14% ","14% ","11% ","25% ","14% ","9% ","14% "
"19","Sana'a","17% ","23% ","2% ","13% ","13% ","15% ","17% "
"20","Shabwah","22% ","13% ","13% ","13% ","7% ","15% ","17% "
"21","Socotra","14% ","16% ","11% ","11% ","11% ","23% ","14% "
"22","Taizz","17% ","7% ","20% ","13% ","19% ","11% ","13% "
