"","Subset","I don't know","No","Refuse to answer (DO NOT READ)","Yes"
"1","Abyan","18% ","29% ","21% ","32% "
"2","Aden","21% ","17% ","33% ","29% "
"3","Al Bayda","28% ","21% ","30% ","21% "
"4","Al Dhale'e","20% ","35% ","10% ","35% "
"5","Al Hudaydah","26% ","29% ","26% ","18% "
"6","Al Jawf","27% ","31% ","25% ","17% "
"7","Al Maharah","19% ","21% ","27% ","33% "
"8","Al Mahwit","25% ","33% ","18% ","25% "
"9","Amanat Al Asimah","18% ","36% ","27% ","18% "
"10","Amran","20% ","32% ","27% ","22% "
"11","Dhamar","28% ","28% ","23% ","21% "
"12","Hadramaut","36% ","28% ","13% ","23% "
"13","Hajjah","24% ","21% ","14% ","40% "
"14","Ibb","15% ","38% ","31% ","15% "
"15","Lahj","31% ","29% ","24% ","16% "
"16","Marib","36% ","17% ","21% ","26% "
"17","Raymah","30% ","15% ","17% ","37% "
"18","Sa'ada","23% ","27% ","29% ","21% "
"19","Sana'a","29% ","33% ","23% ","15% "
"20","Shabwah","15% ","31% ","33% ","21% "
"21","Socotra","28% ","25% ","21% ","26% "
"22","Taizz","45% ","24% ","21% ","10% "
