"","Subset","I don't know","No","Refuse to answer (DO NOT READ)","Yes"
"1","Abyan","38% ","21% ","21% ","21% "
"2","Aden","21% ","23% ","33% ","23% "
"3","Al Bayda","21% ","26% ","28% ","26% "
"4","Al Dhale'e","38% ","14% ","29% ","19% "
"5","Al Hudaydah","22% ","31% ","29% ","18% "
"6","Al Jawf","14% ","17% ","31% ","38% "
"7","Al Maharah","12% ","33% ","26% ","30% "
"8","Al Mahwit","28% ","23% ","26% ","23% "
"9","Amanat Al Asimah","17% ","29% ","29% ","24% "
"10","Amran","25% ","23% ","32% ","21% "
"11","Dhamar","23% ","32% ","32% ","13% "
"12","Hadramaut","24% ","26% ","12% ","38% "
"13","Hajjah","23% ","29% ","29% ","20% "
"14","Ibb","15% ","38% ","12% ","35% "
"15","Lahj","6% ","43% ","23% ","29% "
"16","Marib","26% ","38% ","17% ","19% "
"17","Raymah","29% ","21% ","31% ","19% "
"18","Sa'ada","27% ","27% ","23% ","23% "
"19","Sana'a","23% ","26% ","21% ","30% "
"20","Shabwah","24% ","28% ","24% ","24% "
"21","Socotra","27% ","25% ","23% ","25% "
"22","Taizz","33% ","20% ","30% ","17% "
