"","Subset","A few (around 25%)","About half (around 50%)","Everyone (around 100%)","I don't know","Most (around 75%)","Nobody (around 0%)","Refuse to answer (DO NOT READ)"
"1","Abyan","7% ","14% ","12% ","16% ","16% ","14% ","20% "
"2","Aden","14% ","5% ","26% ","12% ","14% ","19% ","10% "
"3","Al Bayda","16% ","23% ","12% ","9% ","16% ","9% ","14% "
"4","Al Dhale'e","15% ","15% ","15% ","2% ","10% ","20% ","22% "
"5","Al Hudaydah","11% ","18% ","11% ","3% ","16% ","13% ","29% "
"6","Al Jawf","10% ","15% ","10% ","17% ","12% ","19% ","17% "
"7","Al Maharah","12% ","19% ","4% ","16% ","19% ","10% ","18% "
"8","Al Mahwit","16% ","16% ","14% ","11% ","16% ","14% ","14% "
"9","Amanat Al Asimah","21% ","6% ","12% ","9% ","15% ","27% ","9% "
"10","Amran","17% ","12% ","12% ","20% ","17% ","10% ","12% "
"11","Dhamar","8% ","23% ","28% ","5% ","15% ","21% ",NA
"12","Hadramaut","10% ","13% ","13% ","15% ","13% ","23% ","13% "
"13","Hajjah","14% ","14% ","14% ","2% ","10% ","21% ","24% "
"14","Ibb","15% ","13% ","13% ","13% ","10% ","10% ","26% "
"15","Lahj","18% ","2% ","13% ","20% ","11% ","18% ","18% "
"16","Marib","19% ","9% ","15% ","9% ","21% ","11% ","17% "
"17","Raymah","11% ","11% ","24% ","15% ","7% ","15% ","17% "
"18","Sa'ada","27% ","12% ","12% ","13% ","13% ","19% ","4% "
"19","Sana'a","17% ","4% ","25% ","19% ","12% ","4% ","19% "
"20","Shabwah","10% ","18% ","13% ","18% ","18% ","13% ","10% "
"21","Socotra","19% ","19% ","9% ","2% ","21% ","15% ","15% "
"22","Taizz","14% ","10% ","17% ","14% ","14% ","12% ","19% "
