"","Subset","I don't know","No","Refuse to answer (DO NOT READ)","Yes"
"1","Abyan","35% ","21% ","25% ","19% "
"2","Aden","23% ","17% ","27% ","33% "
"3","Al Bayda","31% ","21% ","23% ","26% "
"4","Al Dhale'e","45% ","17% ","12% ","26% "
"5","Al Hudaydah","25% ","20% ","24% ","31% "
"6","Al Jawf","24% ","24% ","33% ","19% "
"7","Al Maharah","28% ","19% ","28% ","26% "
"8","Al Mahwit","28% ","26% ","26% ","21% "
"9","Amanat Al Asimah","20% ","27% ","29% ","24% "
"10","Amran","30% ","26% ","28% ","16% "
"11","Dhamar","40% ","26% ","11% ","23% "
"12","Hadramaut","26% ","19% ","24% ","31% "
"13","Hajjah","16% ","30% ","29% ","25% "
"14","Ibb","20% ","25% ","25% ","30% "
"15","Lahj","17% ","26% ","31% ","26% "
"16","Marib","34% ","30% ","15% ","21% "
"17","Raymah","21% ","31% ","25% ","23% "
"18","Sa'ada","16% ","27% ","20% ","36% "
"19","Sana'a","30% ","23% ","26% ","21% "
"20","Shabwah","33% ","20% ","17% ","30% "
"21","Socotra","18% ","25% ","20% ","36% "
"22","Taizz","22% ","35% ","26% ","17% "
