"","Subset","A few (around 25%)","About half (around 50%)","Everyone (around 100%)","I don't know","Most (around 75%)","Nobody (around 0%)","Refuse to answer (DO NOT READ)"
"1","Abyan","10% ","21% ","19% ","19% ","4% ","15% ","12% "
"2","Aden","10% ","15% ","15% ","19% ","6% ","15% ","21% "
"3","Al Bayda","13% ","18% ","18% ","15% ","8% ","10% ","18% "
"4","Al Dhale'e","12% ","12% ","24% ","14% ","12% ","14% ","12% "
"5","Al Hudaydah","8% ","10% ","12% ","18% ","18% ","18% ","18% "
"6","Al Jawf","21% ","17% ","12% ","10% ","12% ","10% ","19% "
"7","Al Maharah","19% ","23% ","12% ","16% ","14% ","5% ","12% "
"8","Al Mahwit","15% ","13% ","13% ","13% ","15% ","13% ","18% "
"9","Amanat Al Asimah","17% ","27% ","12% ","12% ","15% ","17% ",NA
"10","Amran","9% ","19% ","12% ","18% ","21% ","11% ","11% "
"11","Dhamar","11% ","4% ","9% ","13% ","19% ","23% ","21% "
"12","Hadramaut","12% ","19% ","19% ","17% ","5% ","14% ","14% "
"13","Hajjah","12% ","16% ","18% ","11% ","12% ","12% ","18% "
"14","Ibb","15% ","12% ","10% ","18% ","12% ","15% ","18% "
"15","Lahj","6% ","6% ","23% ","17% ","20% ","14% ","14% "
"16","Marib","11% ","6% ","13% ","28% ","19% ","13% ","11% "
"17","Raymah","12% ","12% ","10% ","15% ","15% ","17% ","19% "
"18","Sa'ada","9% ","16% ","14% ","11% ","20% ","20% ","9% "
"19","Sana'a","15% ","6% ","15% ","28% ","15% ","13% ","9% "
"20","Shabwah","11% ","17% ","17% ","20% ","11% ","13% ","11% "
"21","Socotra","9% ","16% ","14% ","18% ","18% ","7% ","18% "
"22","Taizz","7% ","17% ","15% ","11% ","9% ","20% ","20% "
