"","Subset","Borehole","Bottled water","I don't know","Illegal connection to piped network","Piped water connected to public tap","Piped water into compound","Protected rainwater tank","Protected spring","Protected well","Refuse to answer (DO NOT READ)","Surface water (river, damn, lake, pond, stream, canal)","Unprotected rainwater tank","Unprotected spring","Unprotected well","Water trucking"
"1","Abyan","8% ","12% ","10% ",NA,"6% ","2% ","8% ","8% ","6% ","4% ","10% ","8% ","4% ","4% ","6% "
"2","Aden","10% ","6% ","4% ","2% ","12% ","8% ","4% ","8% ","4% ","4% ","8% ","8% ","6% ","10% ","2% "
"3","Al Bayda","3% ","8% ","5% ","5% ","3% ","5% ","8% ","5% ","13% ","18% ","5% ",NA,"8% ","8% ","8% "
"4","Al Dhale'e",NA,"5% ","14% ","12% ","10% ","2% ","2% ","5% ","2% ","10% ","2% ","5% ","14% ","10% ","7% "
"5","Al Hudaydah","4% ","8% ","6% ","8% ","6% ","8% ","12% ","2% ","10% ","2% ","8% ","16% ","6% ","4% ","2% "
"6","Al Jawf","10% ","5% ","7% ","7% ","7% ","7% ","7% ","10% ","7% ","12% ","2% ","5% ","7% ","5% ","2% "
"7","Al Maharah","12% ","5% ","9% ","9% ","7% ","5% ",NA,"7% ","5% ","14% ","12% ","7% ","2% ","2% ","5% "
"8","Al Mahwit","8% ","8% ","5% ","5% ","8% ","3% ","5% ","15% ","5% ","15% ","10% ",NA,"3% ","5% ","5% "
"9","Amanat Al Asimah","7% ","2% ","5% ","7% ","5% ","10% ","15% ","5% ","10% ","10% ","5% ","7% ","5% ","2% ","5% "
"10","Amran","5% ","11% ","7% ","7% ","11% ","2% ","11% ",NA,"9% ","7% ","9% ","5% ","9% ","2% ","7% "
"11","Dhamar","2% ","2% ","4% ","9% ","15% ","6% ","11% ",NA,"2% ","4% ","11% ","13% ","9% ","9% ","4% "
"12","Hadramaut","7% ","2% ","2% ",NA,"10% ","5% ","10% ","2% ","5% ","10% ","2% ","12% ","7% ","19% ","7% "
"13","Hajjah","12% ",NA,"4% ","11% ","12% ","5% ","5% ","11% ","4% ","4% ","12% ","9% ","2% ","5% ","4% "
"14","Ibb","12% ","5% ","5% ","8% ","2% ","5% ","5% ",NA,"5% ","10% ","18% ","8% ","8% ","8% ","2% "
"15","Lahj","11% ","11% ","17% ","11% ","9% ","3% ","11% ","3% ",NA,"3% ","6% ","6% ","3% ","3% ","3% "
"16","Marib","6% ","2% ","13% ","6% ","6% ","2% ","2% ","11% ","11% ","9% ","6% ","6% ","9% ","2% ","9% "
"17","Raymah","4% ","4% ","17% ","6% ","2% ","4% ","6% ","8% ","4% ","2% ","10% ","8% ","6% ","10% ","6% "
"18","Sa'ada","9% ","14% ","11% ","9% ","2% ",NA,"5% ","7% ","7% ","7% ","5% ","5% ","9% ","7% ","5% "
"19","Sana'a","9% ","4% ","11% ","6% ","6% ","13% ",NA,"2% ","9% ","11% ","6% ","4% ","6% ","6% ","6% "
"20","Shabwah","4% ","4% ","2% ","2% ","7% ","2% ","11% ","13% ","9% ","13% ","9% ","9% ","4% ",NA,"11% "
"21","Socotra","5% ","7% ","7% ","5% ","2% ","7% ",NA,"7% ","11% ","7% ","9% ","5% ","11% ","7% ","11% "
"22","Taizz","7% ","7% ","7% ","4% ","6% ","9% ","9% ","6% ","13% ","11% ","2% ","6% ","6% ","6% ","2% "
