"","Subset","I don't know","No","Refuse to answer (DO NOT READ)","Yes"
"1","Abyan","32% ","11% ","32% ","25% "
"2","Aden","31% ","29% ","26% ","14% "
"3","Al Bayda","23% ","28% ","30% ","19% "
"4","Al Dhale'e","28% ","15% ","25% ","32% "
"5","Al Hudaydah","29% ","32% ","26% ","13% "
"6","Al Jawf","29% ","15% ","27% ","29% "
"7","Al Maharah","21% ","19% ","28% ","31% "
"8","Al Mahwit","30% ","30% ","21% ","19% "
"9","Amanat Al Asimah","36% ","27% ","27% ","9% "
"10","Amran","20% ","29% ","27% ","24% "
"11","Dhamar","31% ","28% ","26% ","15% "
"12","Hadramaut","28% ","15% ","33% ","23% "
"13","Hajjah","19% ","38% ","14% ","29% "
"14","Ibb","33% ","26% ","31% ","10% "
"15","Lahj","44% ","22% ","13% ","20% "
"16","Marib","23% ","26% ","26% ","26% "
"17","Raymah","33% ","28% ","20% ","20% "
"18","Sa'ada","29% ","17% ","29% ","25% "
"19","Sana'a","27% ","33% ","19% ","21% "
"20","Shabwah","15% ","26% ","33% ","26% "
"21","Socotra","25% ","13% ","30% ","32% "
"22","Taizz","31% ","14% ","29% ","26% "
