"","Subset","I don't know","No","Refuse to answer (DO NOT READ)","Yes"
"1","Abyan","25% ","27% ","25% ","23% "
"2","Aden","26% ","14% ","36% ","24% "
"3","Al Bayda","26% ","19% ","23% ","33% "
"4","Al Dhale'e","32% ","18% ","22% ","28% "
"5","Al Hudaydah","34% ","21% ","13% ","32% "
"6","Al Jawf","23% ","23% ","23% ","31% "
"7","Al Maharah","22% ","31% ","22% ","24% "
"8","Al Mahwit","35% ","18% ","25% ","23% "
"9","Amanat Al Asimah","21% ","9% ","18% ","52% "
"10","Amran","32% ","20% ","27% ","22% "
"11","Dhamar","15% ","26% ","31% ","28% "
"12","Hadramaut","26% ","18% ","36% ","21% "
"13","Hajjah","24% ","24% ","31% ","21% "
"14","Ibb","33% ","23% ","21% ","23% "
"15","Lahj","20% ","31% ","29% ","20% "
"16","Marib","23% ","26% ","32% ","19% "
"17","Raymah","28% ","20% ","20% ","33% "
"18","Sa'ada","29% ","19% ","23% ","29% "
"19","Sana'a","17% ","31% ","29% ","23% "
"20","Shabwah","28% ","18% ","36% ","18% "
"21","Socotra","21% ","21% ","40% ","19% "
"22","Taizz","29% ","14% ","24% ","33% "
