"","Subset","I don't know","No","Refuse to answer (DO NOT READ)","Yes"
"1","Abyan","20% ","25% ","34% ","21% "
"2","Aden","29% ","24% ","24% ","24% "
"3","Al Bayda","14% ","35% ","26% ","26% "
"4","Al Dhale'e","25% ","20% ","22% ","32% "
"5","Al Hudaydah","24% ","29% ","26% ","21% "
"6","Al Jawf","21% ","17% ","23% ","40% "
"7","Al Maharah","25% ","21% ","24% ","30% "
"8","Al Mahwit","19% ","28% ","30% ","23% "
"9","Amanat Al Asimah","39% ","21% ","12% ","27% "
"10","Amran","24% ","17% ","32% ","27% "
"11","Dhamar","21% ","36% ","23% ","21% "
"12","Hadramaut","31% ","36% ","15% ","18% "
"13","Hajjah","19% ","24% ","33% ","24% "
"14","Ibb","23% ","28% ","13% ","36% "
"15","Lahj","36% ","22% ","20% ","22% "
"16","Marib","21% ","30% ","26% ","23% "
"17","Raymah","13% ","33% ","22% ","33% "
"18","Sa'ada","19% ","23% ","37% ","21% "
"19","Sana'a","19% ","27% ","23% ","31% "
"20","Shabwah","33% ","26% ","33% ","8% "
"21","Socotra","34% ","34% ","15% ","17% "
"22","Taizz","21% ","19% ","38% ","21% "
