"","Subset","A few (around 25%)","About half (around 50%)","Everyone (around 100%)","I don't know","Most (around 75%)","Nobody (around 0%)","Refuse to answer (DO NOT READ)"
"1","Abyan","17% ","10% ","10% ","8% ","19% ","15% ","21% "
"2","Aden","15% ","21% ","15% ","4% ","17% ","10% ","19% "
"3","Al Bayda","23% ","8% ","5% ","21% ","21% ","5% ","18% "
"4","Al Dhale'e","24% ","7% ","19% ","7% ","21% ","14% ","7% "
"5","Al Hudaydah","8% ","25% ","20% ","6% ","16% ","14% ","12% "
"6","Al Jawf","21% ","21% ","12% ","7% ","12% ","14% ","12% "
"7","Al Maharah","5% ","23% ","16% ","14% ","9% ","12% ","21% "
"8","Al Mahwit","18% ","21% ","8% ","13% ","5% ","23% ","13% "
"9","Amanat Al Asimah","17% ","17% ","22% ","7% ","7% ","12% ","17% "
"10","Amran","9% ","11% ","16% ","25% ","11% ","23% ","7% "
"11","Dhamar","23% ","13% ","9% ","26% ","11% ","13% ","6% "
"12","Hadramaut","24% ","10% ","24% ","10% ","12% ","7% ","14% "
"13","Hajjah","11% ","14% ","11% ","12% ","18% ","20% ","14% "
"14","Ibb","10% ","15% ","12% ","18% ","15% ","10% ","20% "
"15","Lahj","23% ","17% ","14% ","11% ","17% ","9% ","9% "
"16","Marib","19% ","9% ","17% ","19% ","11% ","15% ","11% "
"17","Raymah","19% ","8% ","15% ","8% ","29% ","15% ","6% "
"18","Sa'ada","14% ","20% ","20% ","7% ","11% ","16% ","11% "
"19","Sana'a","11% ","15% ","26% ","6% ","9% ","17% ","17% "
"20","Shabwah","7% ","11% ","26% ","11% ","15% ","17% ","13% "
"21","Socotra","27% ","9% ","18% ","14% ","7% ","14% ","11% "
"22","Taizz","13% ","11% ","15% ","13% ","20% ","11% ","17% "
