"","Subset","I don't know","No","Refuse to answer (DO NOT READ)","Yes"
"1","Abyan","10% ","25% ","31% ","33% "
"2","Aden","23% ","29% ","19% ","29% "
"3","Al Bayda","23% ","33% ","23% ","21% "
"4","Al Dhale'e","17% ","26% ","19% ","38% "
"5","Al Hudaydah","25% ","31% ","22% ","22% "
"6","Al Jawf","12% ","26% ","36% ","26% "
"7","Al Maharah","35% ","21% ","21% ","23% "
"8","Al Mahwit","18% ","26% ","26% ","31% "
"9","Amanat Al Asimah","32% ","20% ","24% ","24% "
"10","Amran","19% ","32% ","26% ","23% "
"11","Dhamar","21% ","21% ","28% ","30% "
"12","Hadramaut","26% ","29% ","17% ","29% "
"13","Hajjah","29% ","16% ","34% ","21% "
"14","Ibb","28% ","12% ","32% ","28% "
"15","Lahj","31% ","26% ","29% ","14% "
"16","Marib","21% ","30% ","21% ","28% "
"17","Raymah","29% ","10% ","29% ","31% "
"18","Sa'ada","32% ","27% ","18% ","23% "
"19","Sana'a","32% ","17% ","21% ","30% "
"20","Shabwah","30% ","20% ","30% ","20% "
"21","Socotra","18% ","16% ","36% ","30% "
"22","Taizz","30% ","30% ","22% ","19% "
