"","Subset","I don't know","No","Refuse to answer (DO NOT READ)","Yes"
"1","Abyan","25% ","21% ","31% ","23% "
"2","Aden","27% ","23% ","23% ","27% "
"3","Al Bayda","31% ","23% ","28% ","18% "
"4","Al Dhale'e","29% ","21% ","29% ","21% "
"5","Al Hudaydah","31% ","25% ","20% ","24% "
"6","Al Jawf","21% ","19% ","38% ","21% "
"7","Al Maharah","12% ","30% ","35% ","23% "
"8","Al Mahwit","28% ","21% ","18% ","33% "
"9","Amanat Al Asimah","34% ","37% ","22% ","7% "
"10","Amran","32% ","23% ","16% ","30% "
"11","Dhamar","21% ","28% ","28% ","23% "
"12","Hadramaut","12% ","24% ","26% ","38% "
"13","Hajjah","23% ","23% ","27% ","27% "
"14","Ibb","32% ","30% ","28% ","10% "
"15","Lahj","31% ","17% ","26% ","26% "
"16","Marib","26% ","28% ","13% ","34% "
"17","Raymah","21% ","31% ","19% ","29% "
"18","Sa'ada","34% ","25% ","18% ","23% "
"19","Sana'a","26% ","32% ","30% ","13% "
"20","Shabwah","30% ","20% ","26% ","24% "
"21","Socotra","18% ","23% ","30% ","30% "
"22","Taizz","15% ","30% ","28% ","28% "
