"","Subset","A few (around 25%)","About half (around 50%)","Everyone (around 100%)","I don't know","Most (around 75%)","Nobody (around 0%)","Refuse to answer (DO NOT READ)"
"1","Abyan","15% ","15% ","8% ","21% ","15% ","17% ","10% "
"2","Aden","19% ","12% ","12% ","12% ","17% ","21% ","6% "
"3","Al Bayda","5% ","15% ","18% ","21% ","8% ","15% ","18% "
"4","Al Dhale'e","24% ","2% ","10% ","14% ","26% ","12% ","12% "
"5","Al Hudaydah","12% ","12% ","12% ","20% ","14% ","22% ","10% "
"6","Al Jawf","17% ","17% ","12% ","17% ","14% ","14% ","10% "
"7","Al Maharah","14% ","12% ","14% ","16% ","7% ","19% ","19% "
"8","Al Mahwit","18% ","8% ","13% ","13% ","5% ","21% ","23% "
"9","Amanat Al Asimah","20% ","20% ","10% ","10% ","12% ","10% ","20% "
"10","Amran","16% ","11% ","9% ","16% ","23% ","9% ","18% "
"11","Dhamar","15% ","13% ","11% ","11% ","19% ","19% ","13% "
"12","Hadramaut","17% ","10% ","14% ","19% ","7% ","14% ","19% "
"13","Hajjah","9% ","11% ","9% ","18% ","18% ","16% ","20% "
"14","Ibb","15% ","18% ","20% ","8% ","10% ","12% ","18% "
"15","Lahj","14% ","23% ","11% ","11% ","14% ","11% ","14% "
"16","Marib","21% ","11% ","13% ","13% ","17% ","15% ","11% "
"17","Raymah","12% ","12% ","12% ","19% ","10% ","21% ","12% "
"18","Sa'ada","11% ","20% ","16% ","16% ","14% ","16% ","7% "
"19","Sana'a","13% ","11% ","6% ","11% ","26% ","9% ","26% "
"20","Shabwah","17% ","13% ","20% ","13% ","7% ","11% ","20% "
"21","Socotra","18% ","9% ","14% ","11% ","9% ","25% ","14% "
"22","Taizz","11% ","19% ","20% ","7% ","11% ","19% ","13% "
