"","Subset","I don't know","Other (please specify):","Refuse to answer (DO NOT READ)","There is no need as they feel water they collect is clean and does not need to be treated","They don't have materials for water purification/treatment","They don't know any treatment methods","Treating water costs too much money","Treating water takes too much time"
"1","Abyan","17% ","4% ","10% ","2% ","17% ","10% ","29% ","10% "
"2","Aden","15% ","19% ","10% ","12% ","12% ","2% ","19% ","10% "
"3","Al Bayda","15% ","8% ","18% ","3% ","15% ","18% ","18% ","5% "
"4","Al Dhale'e","14% ","14% ","7% ","12% ","17% ","12% ","5% ","19% "
"5","Al Hudaydah","12% ","12% ","18% ","10% ","18% ","14% ","6% ","12% "
"6","Al Jawf","19% ","26% ","12% ","10% ","12% ","2% ","7% ","12% "
"7","Al Maharah","9% ","9% ","9% ","19% ","23% ","7% ","9% ","14% "
"8","Al Mahwit","10% ","5% ","15% ","18% ","18% ","10% ","15% ","8% "
"9","Amanat Al Asimah","24% ","12% ","12% ","12% ","7% ","17% ","5% ","10% "
"10","Amran","9% ","11% ","12% ","23% ","14% ","14% ","14% ","4% "
"11","Dhamar","17% ","11% ","6% ","9% ","13% ","17% ","13% ","15% "
"12","Hadramaut","10% ","12% ","12% ","14% ","10% ","10% ","12% ","21% "
"13","Hajjah","9% ","18% ","16% ","9% ","11% ","12% ","14% ","11% "
"14","Ibb","12% ","8% ","12% ","20% ","15% ","15% ","10% ","8% "
"15","Lahj","9% ","23% ","11% ","6% ","20% ","11% ","9% ","11% "
"16","Marib","21% ","13% ","6% ","6% ","11% ","13% ","15% ","15% "
"17","Raymah","15% ","17% ","6% ","10% ","8% ","17% ","23% ","4% "
"18","Sa'ada","16% ","9% ","14% ","7% ","7% ","14% ","20% ","14% "
"19","Sana'a","9% ","13% ","13% ","17% ","13% ","26% ","6% ","4% "
"20","Shabwah","11% ","24% ","13% ","9% ","9% ","17% ","9% ","9% "
"21","Socotra","9% ","16% ","16% ","11% ","14% ","14% ","9% ","11% "
"22","Taizz","11% ","15% ","11% ","9% ","13% ","15% ","15% ","11% "
