list_name,name,label::english,label::arabic,governorate,district,subdistrict,
,,,,,,,
enum_agency,imc,IMC,?????? ?????? ???????,,,,
enum_agency,sci,Save the Children,????? ????? ?????,,,,
enum_agency,unicef,UNICEF,??????,,,,
enum_agency,rdp,RDP,????? ???? ??????? ??????? ?????????,,,,
enum_agency,nrc,NRC,?????? ???????? ???????,,,,
enum_agency,oxfam,OXFAM,???????,,,,
enum_agency,care,CARE,???,,,,
enum_agency,relief,Relief International,???? ??????? ???????,,,,
enum_agency,adra,ADRA,????,,,,
enum_agency,tamdeen,Tamdeen,?????,,,,
enum_agency,yfca,YFCA,????? ????? ??????,,,,
enum_agency,sydf,SYDF,??? ????? ????????,,,,
enum_agency,yrc,YRC,?????? ?????? ??????,,,,
enum_agency,bfd,BFD,????? ???? ?????,,,,
enum_agency,iycy,IYCY,???? ?????? ???????,,,,
enum_agency,diversity,Diversity,????,,,,
enum_agency,shs,SHS,????? ??????? ????????,,,,
enum_agency,nmo,NMO,????? ????? ??????,,,,
enum_agency,acf,ACF,????? ????? ??????? ?????,,,,
enum_agency,garwasp,GARWASP,?????? ?????? ??????? ???? ?????,,,,
enum_agency,acted,ACTED,?????,,,,
enum_agency,other,Other (please specify):,???? (???? ???????),,,,
,,,,,,,
yesnoconsent,yes,Yes,???,,,,
yesnoconsent,no,No,??,,,,
,,,,,,,
,,,,,,,
,,,,,,,
urbanrural,rural,Rural,?????,,,,
urbanrural,urban,Urban,?????,,,,
urbanrural,peri-urban,Peri-Urban,??? ?????,,,,
,,,,,,,
yesno,yes,Yes,???,,,,
yesno,no,No,??,,,,
yesno,dnk,I don't know,?? ????,,,,
yesno,refuse,Refuse to answer (DO NOT READ),??? ??????? (?? ????),,,,
,,,,,,,
,,,,,,,
resident,host,Host community,????? ??????,,,,
resident,idp,IDPs,??????,,,,
resident,migrants,Migrants,???????,,,,
resident,refugees,Refugees,??????,,,,
resident,mixed,Mixed (host community/IDPs/migrants/refugees),"????? (??????,???????,????? ????, ???????)",,,,
resident,dnk,I don't know,?? ????,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
org,gov,Government,??????,,,,
org,local_ngo,Local NGO,????? ?????,,,,
org,ingo,International NGO,????? ?????,,,,
org,un,United Nations,????? ???????,,,,
org,private,Private,?????,,,,
org,other,Other (please specify):,???? (???? ???????),,,,
org,dnk,I don't know,?? ????,,,,
org,refuse,Refuse to answer (DO NOT READ),??? ??????? (?? ????),,,,
,,,,,,,
,,,,,,,
,,,,,,,
