list_name,name,label::english,governorate,district,subdistrict,label::arabic
governorate,YE11,Ibb,,,,اب
governorate,YE12,Abyan,,,,ابين
governorate,YE13,Sana'a City,,,,امانة العاصمه
governorate,YE14,Al Bayda,,,,البيضاء
governorate,YE15,Ta'iz,,,,تعز
governorate,YE16,Al Jawf,,,,الجوف
governorate,YE17,Hajjah,,,,حجه
governorate,YE18,Al Hodeidah,,,,الحديده
governorate,YE19,Hadramawt,,,,حضرموت
governorate,YE20,Dhamar,,,,ذمار
governorate,YE21,Shabwah,,,,شبوه
governorate,YE22,Sa'dah,,,,صعده
governorate,YE23,Sana'a,,,,صنعاء
governorate,YE24,Aden,,,,عدن
governorate,YE25,Lahj,,,,لحج
governorate,YE26,Ma'rib,,,,مارب
governorate,YE27,Al Mahwit,,,,المحويت
governorate,YE28,Al Maharah,,,,المهره
governorate,YE29,Amran,,,,عمران
governorate,YE30,Ad Dali',,,,الضالع
governorate,YE31,Raymah,,,,ريمه
governorate,YE32,Socotra,,,,سقطرى
district,YE1101,Al Qafr,YE11,,,القفر
district,YE1102,Yarim,YE11,,,يريم
district,YE1103,Ar Radmah,YE11,,,الرضمه
district,YE1104,An Nadirah,YE11,,,النادره
district,YE1105,Ash Sha'ir,YE11,,,الشعر
district,YE1106,As Saddah,YE11,,,السده
district,YE1107,Al Makhadir,YE11,,,المخادر
district,YE1108,Hobeish,YE11,,,حبيش
district,YE1109,Hazm Al Odayn,YE11,,,حزم العدين
district,YE1110,Far' Al Odayn,YE11,,,فرع العدين
district,YE1111,Al Odayn,YE11,,,العدين
district,YE1112,Jiblah,YE11,,,جبله
district,YE1113,Ba'dan,YE11,,,بعدان
district,YE1114,As Sabrah,YE11,,,السبره
district,YE1115,As Saiyani,YE11,,,السياني
district,YE1116,Dhi As Sufal,YE11,,,ذي السفال
district,YE1117,Mudhaykhirah,YE11,,,مذيخره
district,YE1118,Al Mashannah,YE11,,,المشنه
district,YE1119,Adh Dhihar,YE11,,,الظهار
district,YE1120,Ibb,YE11,,,اب
district,YE1201,Al Mahfad,YE12,,,المحفد
district,YE1202,Mudiyah,YE12,,,موديه
district,YE1203,Jayshan,YE12,,,جيشان
district,YE1204,Lawdar,YE12,,,لودر
district,YE1205,Sibah,YE12,,,سباح
district,YE1206,Rassd,YE12,,,رصد
district,YE1207,Sarar,YE12,,,سرار
district,YE1208,Al Wadi',YE12,,,الوضيع
district,YE1209,Ahwar,YE12,,,احور
district,YE1210,Zinjibar,YE12,,,زنجبار
district,YE1211,Khanfar,YE12,,,خنفر
district,YE1301,Old City,YE13,,,صنعاء القديمه
district,YE1302,Shu'ub,YE13,,,شعوب
district,YE1303,Azaal,YE13,,,ازال
district,YE1304,As Safiyah,YE13,,,الصافيه
district,YE1305,As Sab'in,YE13,,,السبعين
district,YE1306,Al Wehdah,YE13,,,الوحده
district,YE1307,At Tahrir,YE13,,,التحرير
district,YE1308,Ma'in,YE13,,,معين
district,YE1309,Ath Thawrah,YE13,,,الثوره
district,YE1310,Bani Al Harith,YE13,,,بني الحارث
district,YE1319,Sana'a City Outskirts - Hamdan,YE13,,,ضواحي الامانة همدان
district,YE1324,Sana'a City Outskirts -Sanhan wa Bani Bahlul,YE13,,,ضواحي الامانة سنحان وبني بهلول
district,YE1401,Nu'man,YE14,,,نعمان
district,YE1402,Nati',YE14,,,ناطع
district,YE1403,Maswarah,YE14,,,مسوره
district,YE1404,As Sawma'ah,YE14,,,الصومعه
district,YE1405,Az Zahir,YE14,,,الزاهر - البيضاء
district,YE1406,Dhi Na'im,YE14,,,ذي ناعم
district,YE1407,At Taffah,YE14,,,الطفه
district,YE1408,Mukayras,YE14,,,مكيراس
district,YE1409,Al Bayda City,YE14,,,مدينة البيضاء
district,YE1410,Al Bayda,YE14,,,البيضاء
district,YE1411,As Sawadiyah,YE14,,,السواديه
district,YE1412,Radman,YE14,,,ردمان
district,YE1413,Rada',YE14,,,رداع
district,YE1414,Al Quraishyah,YE14,,,القريشيه
district,YE1415,Wald Rabi',YE14,,,ولدربيع
district,YE1416,Al Arsh,YE14,,,العرش
district,YE1417,Sabah,YE14,,,صباح
district,YE1418,Ar Ryashyyah,YE14,,,الرياشيه
district,YE1419,Ash Sharyah,YE14,,,الشريه
district,YE1420,Al Malajim,YE14,,,الملاجم
district,YE1501,Mawiyah,YE15,,,ماويه
district,YE1502,Shar'ab As Salam,YE15,,,شرعب السلام
district,YE1503,Shar'ab Ar Rawnah,YE15,,,شرعب الرونه
district,YE1504,Maqbanah,YE15,,,مقبنه
district,YE1505,Al Makha,YE15,,,المخاء
district,YE1506,Dhubab,YE15,,,باب المندب
district,YE1507,Mawza',YE15,,,موزع
district,YE1508,Jabal Habashi,YE15,,,جبل حبشي
district,YE1509,Mashr'ah Wa Hadnan,YE15,,,مشرعة وحدنان
district,YE1510,Sabir Al Mawadim,YE15,,,صبر الموادم
district,YE1511,Al Misrakh,YE15,,,المسراخ
district,YE1512,Dimnat Khadir,YE15,,,خدير
district,YE1513,As Silw,YE15,,,الصلو
district,YE1514,Ash Shamayatayn,YE15,,,الشمايتين
district,YE1515,Al Wazi'yah,YE15,,,الوازعيه
district,YE1516,Hayfan,YE15,,,حيفان
district,YE1517,Al Mudhaffar,YE15,,,المظفر
district,YE1518,Al Qahirah,YE15,,,القاهره
district,YE1519,Salah,YE15,,,صاله
district,YE1520,At Ta'iziyah,YE15,,,التعزيه
district,YE1521,Al Ma'afer,YE15,,,المعافر
district,YE1522,Al Mawasit,YE15,,,المواسط
district,YE1523,Sami',YE15,,,سامع
district,YE1601,Khab wa Ash Sha'f,YE16,,,خب و الشعف
district,YE1602,Al Humaydat,YE16,,,الحميدات
district,YE1603,Al Matammah,YE16,,,المطمه
