research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type
What are the demographics of the community?,Type of setting,g_district,g_urbanrural,categorical,,,direct_reporting
What are the demographics of the community?,What is the status of most residents of this community?,g_district,g_resident,categorical,,,direct_reporting
What are the demographics of the community?,What is the approximate size of the population in the affected area?,g_district,g_population,categorical,,,direct_reporting
What are the demographics of the community?,What WASH/Cholera assistance has recently been provided in the community?,g_district,g_assistance,categorical,,,direct_reporting
What are the demographics of the community?,What WASH/Cholera assistance has recently been provided in the community?,g_district,g_orgaid,categorical,,,direct_reporting
What are the demographics of the community?,What WASH/Cholera assistance has recently been provided in the community?,g_district,g_orgtype,categorical,,,direct_reporting
What are the demographics of the community?,What WASH/Cholera assistance has recently been provided in the community?,g_district,g_org_aid,categorical,,,direct_reporting
What is the proportion of communities accessing Improved Water Sources?,What proportion of communities is accessing Improved Water Sources for their drinking  water?,g_district,w_drinksource,categorical,,,direct_reporting
What is the proportion of communities accessing Improved Water Sources?,What proportion of communities is accessing Improved Water Sources for their drinking  water?,g_district,w_secondsourceyesno,categorical,,,direct_reporting
What is the proportion of communities accessing Improved Water Sources?,What proportion of communities is accessing Improved Water Sources for their drinking  water?,g_district,w_secondsource,categorical,,,direct_reporting
What are issues with drinking water that communities experience?,Do community members experience issues  with their drinking water?,g_district,w_waterappear,categorical,,,direct_reporting
What are issues with drinking water that communities experience?,What issues do community members experience with their drinking water?,g_district,w_watersmell,categorical,,,direct_reporting
What are issues with drinking water that communities experience?,What issues do community members experience with their drinking water?,g_district,w_waterneeds,categorical,,,direct_reporting
What is the proportion of communities in which fetching water constitutes a problem?,Percentage of KIs reporting that communities have access to a sufficient quantity of water,g_district,w_watercoping,categorical,,,direct_reporting
What is the proportion of communities in which fetching water constitutes a problem?,Percentage of KIs reporting that communities have access to a sufficient quantity of water,g_district,w_wateraccess,categorical,,,direct_reporting
What is the proportion of communities in which fetching water constitutes a problem?,Percentage of KIs reporting that communities have access to a sufficient quantity of water,g_district,w_accessproblem,categorical,,,direct_reporting
What is the proportion of communities in which fetching water constitutes a problem?,Is there a gender-related protection risk related to fetching water?,g_district,w_fetchwater,categorical,,,direct_reporting
What are measures undertaken at household level to treat/make drinking water safe? ,Do community members usually treat their drinking water? ,g_district,w_treatwater,categorical,,,direct_reporting
What are measures undertaken at household level to treat/make drinking water safe? ,What are the measures undertaken at household level  to treat/make drinking water safe? ,g_district,w_treatmethod,categorical,,,direct_reporting
What are measures undertaken at household level to treat/make drinking water safe? ,What are the measures undertaken at household level  to treat/make drinking water safe? ,g_district,w_treatrank_stand,categorical,,,direct_reporting
What are measures undertaken at household level to treat/make drinking water safe? ,What are the measures undertaken at household level  to treat/make drinking water safe? ,g_district,w_treatrank_boiling,categorical,,,direct_reporting
What are measures undertaken at household level to treat/make drinking water safe? ,What are the measures undertaken at household level  to treat/make drinking water safe? ,g_district,w_treatrank_sun,categorical,,,direct_reporting
What are measures undertaken at household level to treat/make drinking water safe? ,What are the measures undertaken at household level  to treat/make drinking water safe? ,g_district,w_treatrank_chlorine,categorical,,,direct_reporting
