list_name,name,label::english,governorate
,,,
enum_agency,imc,IMC,
enum_agency,sci,Save the Children,
enum_agency,unicef,UNICEF,
enum_agency,rdp,RDP,
enum_agency,nrc,NRC,
enum_agency,oxfam,OXFAM,
enum_agency,care,CARE,
enum_agency,relief_int,Relief International,
enum_agency,adra,ADRA,
enum_agency,tamdeen,Tamdeen,
enum_agency,yfca,YFCA,
enum_agency,sydf,SYDF,
enum_agency,yrc,YRC,
enum_agency,bfd,BFD,
enum_agency,iycy,IYCY,
enum_agency,diversity,Diversity,
enum_agency,shs,SHS,
enum_agency,nmo,NMO,
enum_agency,acf,ACF,
enum_agency,garwasp,GARWASP,
enum_agency,acted,ACTED,
enum_agency,other,Other (please specify):,
,,,
yesnoconsent,yes,Yes,
yesnoconsent,no,No,
,,,
,,,
,,,
urbanrural,rural,Rural,
urbanrural,urban,Urban,
urbanrural,per_urban,Peri-Urban,
,,,
yesno,yes,Yes,
yesno,no,No,
yesno,dnk,I don't know,
yesno,refuse,Refuse to answer (DO NOT READ),
,,,
,,,
resident,host,Host community,
resident,idp,IDPs,
resident,migrants,Migrants,
resident,refugees,Refugees,
resident,mixed,Mixed (host community/IDPs/migrants/refugees),
resident,dnk,I don't know,
,,,
,,,
,,,
,,,
org,gov,Government,
org,local_ngo,Local NGO,
org,ingo,International NGO,
org,un,United Nations,
org,private,Private,
org,dnk,I don't know,
org,refuse,Refuse to answer (DO NOT READ),
,,,
,,,
,,,
,,,
aidtype,support_construction,Support for construction or maintenance of water and/or sanitation facilities,
aidtype,support_solidwaste,Support for solid waste collection and disposal,
aidtype,dist_drinking_water,Distribution of free drinking water,
aidtype,dist_water_containers,Distribution of water containers ,
aidtype,dist_chlorine,Distribution of chlorine or other disinfecting agents,
aidtype,dist_hygiene_kits,Distribution of basic/consumable hygiene kits,
aidtype,support_diharrea,Support of diarrhoea treatment centre,
aidtype,hygiene_campeign,Hygiene behaviour campaign,
aidtype,other,Other type of aid,
aidtype,dkn,I don't know,
aidtype,refuse,Refuse to answer (DO NOT READ),
,,,
,,,
,,,
,,,
,,,
watersource,piped_compund,Piped water into compound,
watersource,piped_tap,Piped water connected to public tap,
watersource,borehole,Borehole,
watersource,protect_well,Protected well,
watersource,protect_tank,Protected rainwater tank,
watersource,protect_spring,Protected spring,
watersource,bottled_water,Bottled water,
watersource,water_trucking,Water trucking,
watersource,illegal_piped,Illegal connection to piped network,
watersource,unprotect_tank,Unprotected rainwater tank,
watersource,unprotect_well,Unprotected well,
watersource,unprotect_spring,Unprotected spring,
