"","Subset","Host community","I don't know","IDPs","Migrants","Mixed (host community/IDPs/migrants/refugees)","Refugees"
"1","Ad Dahi","33% ","33% ",NA,"33% ",NA,NA
"2","Ad Dis","50% ",NA,NA,NA,NA,"50% "
"3","Ad Durayhimi",NA,NA,NA,NA,NA,"100% "
"4","Adh Dhlia'ah","20% ",NA,"40% ","20% ","20% ",NA
"5","Aflah Al Yaman",NA,"100% ",NA,NA,NA,NA
"6","Aflah Ash Shawm",NA,NA,"100% ",NA,NA,NA
"7","Ahwar",NA,"33% ",NA,NA,"67% ",NA
"8","Al A'rsh",NA,"50% ",NA,NA,"50% ",NA
"9","Al Abdiyah",NA,NA,NA,"33% ",NA,"67% "
"10","Al Abr",NA,NA,NA,NA,"100% ",NA
"11","Al Ashah",NA,"100% ",NA,NA,NA,NA
"12","Al Bayda",NA,"50% ",NA,"50% ",NA,NA
"13","Al Bayda City","100% ",NA,NA,NA,NA,NA
"14","Al Buraiqeh",NA,NA,"100% ",NA,NA,NA
"15","Al Dhaher",NA,"50% ",NA,NA,NA,"50% "
"16","Al Dhihar","50% ","50% ",NA,NA,NA,NA
"17","Al Ghaydah",NA,NA,NA,"67% ","33% ",NA
"18","Al Ghayl",NA,NA,NA,"100% ",NA,NA
"19","Al Had","100% ",NA,NA,NA,NA,NA
"20","Al Hajjaylah",NA,NA,NA,NA,NA,"100% "
"21","Al Hashwah",NA,"50% ","50% ",NA,NA,NA
"22","Al Haymah Ad Dakhiliyah",NA,NA,NA,NA,NA,"100% "
"23","Al Haymah Al Kharijiyah",NA,NA,NA,"100% ",NA,NA
"24","Al Hazm",NA,NA,NA,NA,NA,"100% "
"25","Al Humaydat","100% ",NA,NA,NA,NA,NA
"26","Al Husha","100% ",NA,NA,NA,NA,NA
"27","Al Hussein",NA,"100% ",NA,NA,NA,NA
"28","Al Jabin",NA,NA,NA,NA,"100% ",NA
"29","Al Jafariyah",NA,NA,NA,NA,"50% ","50% "
"30","Al Jubah",NA,NA,NA,NA,NA,"100% "
"31","Al Khalq",NA,NA,NA,NA,"67% ","33% "
"32","Al Ma'afer",NA,NA,"100% ",NA,NA,NA
"33","Al Madan","100% ",NA,NA,NA,NA,NA
"34","Al Madaribah Wa Al Arah",NA,"25% ","25% ","25% ","25% ",NA
"35","Al Maghrabah",NA,"14% ",NA,"29% ","29% ","29% "
"36","Al Mahabishah","20% ",NA,NA,"20% ",NA,"60% "
"37","Al Mahwait","50% ",NA,NA,"50% ",NA,NA
