"","Subset","Distribution of basic/consumable hygiene kits","Distribution of chlorine or other disinfecting agents","Distribution of free drinking water","Distribution of water containers ","Hygiene behaviour campaign","I don't know","Other type of aid","Refuse to answer (DO NOT READ)","Support for construction or maintenance of water and/or sanitation facilities","Support for solid waste collection and disposal","Support of diarrhoea treatment centre"
"1","Ad Dahi","67% ","33% ","67% ","67% ","67% ","33% ","0% ","33% ","67% ","0% ","0% "
"2","Ad Dis","50% ","100% ","0% ","50% ","0% ","50% ","100% ","50% ","50% ","50% ","100% "
"3","Ad Durayhimi","0% ","100% ","100% ","100% ","0% ","0% ","0% ","0% ","0% ","0% ","0% "
"4","Adh Dhlia'ah","40% ","60% ","40% ","40% ","60% ","60% ","40% ","40% ","60% ","40% ","60% "
"5","Aflah Al Yaman","100% ","0% ","0% ","0% ","100% ","100% ","100% ","100% ","100% ","0% ","100% "
"6","Aflah Ash Shawm","100% ","0% ","0% ","0% ","100% ","100% ","100% ","0% ","100% ","0% ","100% "
"7","Ahwar","67% ","67% ","67% ","0% ","0% ","33% ","33% ","67% ","33% ","67% ","33% "
"8","Al A'rsh","100% ","0% ","50% ","100% ","50% ","100% ","100% ","50% ","100% ","100% ","50% "
"9","Al Abdiyah","33% ","67% ","33% ","33% ","33% ","0% ","67% ","33% ","67% ","33% ","33% "
"10","Al Abr","100% ","0% ","0% ","0% ","100% ","100% ","0% ","0% ","0% ","0% ","0% "
"11","Al Ashah","100% ","0% ","100% ","100% ","0% ","0% ","0% ","100% ","0% ","0% ","100% "
"12","Al Bayda","100% ","50% ","0% ","0% ","100% ","0% ","100% ","100% ","50% ","100% ","50% "
"13","Al Bayda City","0% ","100% ","0% ","0% ","100% ","100% ","0% ","0% ","100% ","0% ","100% "
"14","Al Buraiqeh","50% ","0% ","100% ","0% ","0% ","100% ","0% ","50% ","50% ","100% ","50% "
"15","Al Dhaher","0% ","50% ","100% ","50% ","50% ","50% ","100% ","100% ","50% ","50% ","0% "
"16","Al Dhihar","0% ","50% ","0% ","50% ","0% ","100% ","50% ","50% ","50% ","50% ","50% "
"17","Al Ghaydah","67% ","67% ","100% ","67% ","100% ","33% ","33% ","0% ","33% ","100% ","0% "
"18","Al Ghayl","50% ","50% ","100% ","0% ","0% ","50% ","100% ","100% ","100% ","50% ","100% "
"19","Al Had","100% ","100% ","100% ","100% ","100% ","100% ","100% ","100% ","100% ","100% ","0% "
"20","Al Hajjaylah","0% ","100% ","0% ","100% ","100% ","100% ","100% ","0% ","100% ","100% ","0% "
"21","Al Hashwah","100% ","50% ","50% ","0% ","50% ","50% ","50% ","0% ","50% ","50% ","100% "
"22","Al Haymah Ad Dakhiliyah","0% ","100% ","100% ","0% ","100% ","100% ","0% ","100% ","0% ","100% ","100% "
"23","Al Haymah Al Kharijiyah","0% ","0% ","100% ","0% ","100% ","100% ","100% ","100% ","0% ","100% ","0% "
"24","Al Hazm","50% ","50% ","50% ","50% ","100% ","0% ","0% ","0% ","50% ","0% ","50% "
"25","Al Humaydat","100% ","100% ","100% ","100% ","0% ","0% ","100% ","0% ","100% ","0% ","100% "
"26","Al Husha","0% ","100% ","100% ","0% ","100% ","100% ","0% ","0% ","100% ","0% ","0% "
"27","Al Hussein","100% ","0% ","100% ","100% ","100% ","0% ","100% ","100% ","0% ","0% ","100% "
"28","Al Jabin","0% ","0% ","100% ","100% ","0% ","100% ","0% ","100% ","100% ","0% ","100% "
"29","Al Jafariyah","100% ","0% ","50% ","50% ","100% ","0% ","0% ","50% ","50% ","100% ","0% "
"30","Al Jubah","100% ","0% ","100% ","100% ","100% ","0% ","0% ","0% ","100% ","0% ","100% "
"31","Al Khalq","33% ","100% ","67% ","67% ","33% ","67% ","0% ","67% ","67% ","33% ","0% "
"32","Al Ma'afer","100% ","100% ","100% ","100% ","100% ","100% ","100% ","100% ","100% ","0% ","100% "
"33","Al Madan","0% ","0% ","100% ","50% ","0% ","50% ","0% ","50% ","100% ","50% ","0% "
"34","Al Madaribah Wa Al Arah","0% ","75% ","100% ","75% ","50% ","50% ","75% ","25% ","50% ","25% ","50% "
"35","Al Maghrabah","43% ","86% ","57% ","57% ","57% ","29% ","43% ","14% ","43% ","71% ","57% "
"36","Al Mahabishah","20% ","60% ","0% ","100% ","20% ","20% ","80% ","80% ","80% ","80% ","60% "
"37","Al Mahwait","50% ","100% ","50% ","50% ","100% ","0% ","0% ","0% ","50% ","0% ","100% "
"38","Al Makhadir","50% ","100% ","100% ","50% ","0% ","50% ","50% ","100% ","50% ","0% ","100% "
"39","Al Malagim","100% ","100% ","50% ","50% ","0% ","0% ","50% ","50% ","0% ","0% ","50% "
"40","Al Manar","100% ","100% ","0% ","100% ","100% ","0% ","0% ","100% ","0% ","0% ","0% "
"41","Al Mansura","50% ","50% ","50% ","100% ","0% ","50% ","50% ","0% ","100% ","50% ","100% "
"42","Al Mansuriyah","40% ","60% ","40% ","20% ","40% ","40% ","20% ","0% ","80% ","20% ","20% "
"43","Al Marawi'ah","100% ","0% ","33% ","33% ","33% ","100% ","33% ","67% ","100% ","67% ","33% "
"44","Al Masilah","0% ","0% ","50% ","50% ","100% ","0% ","0% ","50% ","50% ","100% ","100% "
"45","Al Maslub","100% ","0% ","0% ","0% ","0% ","100% ","100% ","100% ","100% ","0% ","0% "
"46","Al Matammah","100% ","100% ","100% ","0% ","100% ","0% ","100% ","0% ","100% ","0% ","100% "
"47","Al Maton","50% ","50% ","50% ","50% ","50% ","50% ","0% ","100% ","50% ","50% ","100% "
"48","Al Mawasit","0% ","100% ","0% ","0% ","0% ","100% ","0% ","0% ","100% ","0% ","0% "
"49","Al Miftah","100% ","100% ","100% ","100% ","100% ","100% ","100% ","0% ","100% ","0% ","100% "
"50","Al Milah","0% ","0% ","100% ","100% ","0% ","100% ","0% ","100% ","100% ","100% ","0% "
"51","Al Mina","0% ","100% ","0% ","100% ","100% ","100% ","100% ","100% ","0% ","0% ","0% "
"52","Al Misrakh","100% ","50% ","0% ","100% ","50% ","0% ","50% ","50% ","100% ","0% ","50% "
"53","Al Mualla","100% ","0% ","0% ","0% ","0% ","0% ","0% ","100% ","0% ","100% ","100% "
"54","Al Mukalla","50% ","50% ","0% ","50% ","50% ","50% ","50% ","50% ","50% ","50% ","0% "
"55","Al Mukalla City","0% ","100% ","100% ","100% ","100% ","0% ","100% ","100% ","100% ","0% ","0% "
"56","Al Mukha","50% ","50% ","100% ","100% ","0% ","50% ","50% ","50% ","0% ","0% ","0% "
"57","Al Munirah","100% ","0% ","0% ","100% ","0% ","0% ","100% ","0% ","100% ","0% ","100% "
"58","Al Musaymir","50% ","50% ","100% ","50% ","50% ","50% ","50% ","0% ","50% ","50% ","50% "
"59","Al Qaf","67% ","33% ","33% ","67% ","100% ","0% ","100% ","33% ","0% ","0% ","33% "
"60","Al Qaflah","0% ","100% ","0% ","0% ","0% ","100% ","100% ","100% ","100% ","0% ","0% "
"61","Al Qahirah","100% ","0% ","0% ","0% ","0% ","100% ","100% ","0% ","0% ","100% ","100% "
"62","Al Qanawis","50% ","50% ","0% ","0% ","0% ","100% ","50% ","50% ","100% ","0% ","0% "
"63","Al Qatn","100% ","0% ","100% ","100% ","50% ","0% ","0% ","50% ","50% ","100% ","50% "
"64","Al Talh","100% ","100% ","0% ","100% ","100% ","0% ","100% ","0% ","100% ","0% ","100% "
"65","Al Udayn","33% ","33% ","67% ","100% ","33% ","0% ","33% ","100% ","33% ","67% ","100% "
"66","Al Wazi'iyah","0% ","0% ","0% ","50% ","100% ","50% ","50% ","50% ","50% ","100% ","0% "
"67","Alluheyah","0% ","50% ","100% ","100% ","100% ","100% ","50% ","100% ","50% ","50% ","50% "
"68","Amran","50% ","0% ","100% ","0% ","0% ","50% ","50% ","100% ","100% ","50% ","50% "
"69","Anss","0% ","100% ","0% ","100% ","100% ","100% ","100% ","100% ","0% ","100% ","0% "
"70","Ar Rawdah","0% ","0% ","100% ","0% ","100% ","100% ","100% ","100% ","100% ","100% ","100% "
"71","Ar Raydah Wa Qusayar","0% ","100% ","0% ","0% ","0% ","100% ","100% ","0% ","0% ","0% ","0% "
"72","Ar Ryashyyah","100% ","0% ","100% ","0% ","0% ","0% ","0% ","100% ","100% ","100% ","0% "
"73","Arhab","100% ","100% ","0% ","100% ","0% ","0% ","0% ","0% ","100% ","0% ","0% "
"74","Arma","0% ","100% ","100% ","0% ","100% ","100% ","100% ","100% ","100% ","0% ","100% "
"75","As Sabain","0% ","0% ","100% ","0% ","100% ","100% ","0% ","0% ","0% ","0% ","0% "
"76","As Sabrah","100% ","100% ","0% ","100% ","0% ","0% ","100% ","100% ","100% ","0% ","0% "
"77","As Saddah","0% ","50% ","100% ","0% ","0% ","50% ","50% ","50% ","100% ","50% ","50% "
"78","As Safra","100% ","0% ","100% ","0% ","0% ","0% ","100% ","0% ","100% ","0% ","0% "
"79","As Said","50% ","50% ","50% ","100% ","0% ","50% ","100% ","50% ","50% ","0% ","0% "
"80","As Salafiyah","0% ","50% ","0% ","100% ","100% ","100% ","50% ","50% ","50% ","50% ","0% "
"81","As Sawadiyah","50% ","50% ","50% ","0% ","0% ","100% ","100% ","0% ","100% ","50% ","0% "
"82","As Sawm","0% ","100% ","100% ","100% ","0% ","0% ","0% ","100% ","100% ","0% ","100% "
"83","As Sawma'ah","100% ","0% ","0% ","0% ","0% ","100% ","0% ","0% ","100% ","0% ","100% "
"84","As Silw","50% ","100% ","100% ","50% ","0% ","50% ","0% ","50% ","0% ","50% ","100% "
"85","As Sudah","100% ","0% ","0% ","100% ","0% ","100% ","0% ","0% ","0% ","0% ","100% "
"86","Ash Sha'ir","100% ","0% ","67% ","67% ","0% ","67% ","67% ","33% ","33% ","33% ","67% "
"87","Ash Shaghadirah","40% ","20% ","20% ","60% ","60% ","40% ","80% ","60% ","40% ","60% ","40% "
"88","Ash Shahil","0% ","100% ","100% ","100% ","100% ","100% ","0% ","100% ","0% ","100% ","100% "
"89","Ash Shamayatayn","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","100% ","100% ","100% "
"90","Ash Shihr","100% ","0% ","0% ","100% ","100% ","100% ","0% ","100% ","0% ","0% ","100% "
"91","Ash Shu'ayb","100% ","100% ","100% ","0% ","100% ","100% ","100% ","0% ","0% ","0% ","0% "
"92","Assafi'yah","100% ","0% ","0% ","100% ","0% ","0% ","100% ","0% ","100% ","100% ","100% "
"93","At Ta'iziyah","0% ","0% ","0% ","0% ","0% ","100% ","0% ","100% ","100% ","0% ","0% "
"94","At Taffah","0% ","0% ","50% ","0% ","50% ","0% ","100% ","100% ","0% ","100% ","0% "
"95","At Tahrir","100% ","50% ","0% ","50% ","100% ","50% ","100% ","50% ","100% ","50% ","100% "
"96","At Tawilah","0% ","50% ","100% ","100% ","50% ","50% ","50% ","50% ","0% ","100% ","50% "
