"","Subset","Government","I don't know","International NGO","Local NGO","Private","Refuse to answer (DO NOT READ)","United Nations"
"1","Ad Dahi",NA,NA,"33% ",NA,"33% ","33% ",NA
"2","Ad Dis",NA,NA,"50% ","50% ",NA,NA,NA
"3","Ad Durayhimi",NA,NA,"100% ",NA,NA,NA,NA
"4","Adh Dhlia'ah","20% ","20% ",NA,"20% ","20% ",NA,"20% "
"5","Aflah Al Yaman","100% ",NA,NA,NA,NA,NA,NA
"6","Aflah Ash Shawm","100% ",NA,NA,NA,NA,NA,NA
"7","Ahwar",NA,NA,NA,"33% ",NA,"33% ","33% "
"8","Al A'rsh",NA,NA,NA,NA,"50% ","50% ",NA
"9","Al Abdiyah","33% ",NA,NA,NA,"33% ",NA,"33% "
"10","Al Abr",NA,NA,NA,NA,NA,"100% ",NA
"11","Al Ashah",NA,NA,"100% ",NA,NA,NA,NA
"12","Al Bayda","50% ",NA,"50% ",NA,NA,NA,NA
"13","Al Bayda City",NA,NA,NA,NA,NA,"100% ",NA
"14","Al Buraiqeh",NA,NA,NA,NA,"50% ",NA,"50% "
"15","Al Dhaher",NA,"50% ",NA,NA,NA,NA,"50% "
"16","Al Dhihar",NA,NA,NA,NA,NA,NA,"100% "
"17","Al Ghaydah","33% ",NA,"33% ",NA,NA,NA,"33% "
"18","Al Ghayl",NA,NA,NA,NA,NA,"50% ","50% "
"19","Al Had",NA,NA,NA,NA,NA,"100% ",NA
"20","Al Hajjaylah",NA,NA,NA,NA,"100% ",NA,NA
"21","Al Hashwah",NA,"50% ",NA,"50% ",NA,NA,NA
"22","Al Haymah Ad Dakhiliyah",NA,NA,NA,NA,"100% ",NA,NA
"23","Al Haymah Al Kharijiyah","100% ",NA,NA,NA,NA,NA,NA
"24","Al Hazm",NA,"50% ","50% ",NA,NA,NA,NA
"25","Al Humaydat",NA,NA,NA,NA,NA,"100% ",NA
"26","Al Husha","100% ",NA,NA,NA,NA,NA,NA
"27","Al Hussein","100% ",NA,NA,NA,NA,NA,NA
"28","Al Jabin","100% ",NA,NA,NA,NA,NA,NA
"29","Al Jafariyah",NA,"50% ","50% ",NA,NA,NA,NA
"30","Al Jubah","100% ",NA,NA,NA,NA,NA,NA
"31","Al Khalq",NA,"67% ",NA,NA,"33% ",NA,NA
"32","Al Ma'afer","100% ",NA,NA,NA,NA,NA,NA
"33","Al Madan",NA,"50% ",NA,NA,"50% ",NA,NA
"34","Al Madaribah Wa Al Arah","50% ",NA,NA,"25% ",NA,NA,"25% "
"35","Al Maghrabah","43% ","43% ",NA,NA,"14% ",NA,NA
"36","Al Mahabishah",NA,"20% ",NA,"40% ","40% ",NA,NA
"37","Al Mahwait","50% ",NA,"50% ",NA,NA,NA,NA
"38","Al Makhadir",NA,NA,NA,NA,"50% ",NA,"50% "
"39","Al Malagim","50% ",NA,NA,"50% ",NA,NA,NA
"40","Al Manar",NA,NA,NA,NA,NA,NA,"100% "
"41","Al Mansura",NA,NA,NA,"50% ","50% ",NA,NA
"42","Al Mansuriyah","20% ",NA,"20% ","20% ",NA,"40% ",NA
"43","Al Marawi'ah",NA,NA,"33% ","33% ","33% ",NA,NA
"44","Al Masilah",NA,NA,NA,NA,NA,"100% ",NA
"45","Al Maslub",NA,NA,NA,NA,"100% ",NA,NA
"46","Al Matammah",NA,NA,NA,"100% ",NA,NA,NA
"47","Al Maton",NA,NA,"50% ",NA,NA,"50% ",NA
"48","Al Mawasit",NA,NA,NA,NA,NA,NA,"100% "
"49","Al Miftah",NA,NA,NA,NA,NA,"100% ",NA
"50","Al Milah","100% ",NA,NA,NA,NA,NA,NA
"51","Al Mina",NA,NA,"100% ",NA,NA,NA,NA
"52","Al Misrakh",NA,NA,"50% ","50% ",NA,NA,NA
"53","Al Mualla",NA,NA,NA,NA,NA,"100% ",NA
"54","Al Mukalla",NA,NA,NA,"50% ","50% ",NA,NA
"55","Al Mukalla City",NA,"100% ",NA,NA,NA,NA,NA
"56","Al Mukha",NA,NA,"50% ",NA,"50% ",NA,NA
"57","Al Munirah",NA,NA,"100% ",NA,NA,NA,NA
"58","Al Musaymir",NA,NA,"50% ",NA,NA,NA,"50% "
"59","Al Qaf",NA,NA,"33% ",NA,NA,"67% ",NA
"60","Al Qaflah",NA,NA,NA,"100% ",NA,NA,NA
"61","Al Qahirah",NA,NA,NA,NA,NA,"100% ",NA
"62","Al Qanawis",NA,NA,NA,NA,NA,"50% ","50% "
"63","Al Qatn",NA,NA,NA,"50% ",NA,NA,"50% "
"64","Al Talh","100% ",NA,NA,NA,NA,NA,NA
"65","Al Udayn",NA,NA,"33% ",NA,NA,"33% ","33% "
"66","Al Wazi'iyah",NA,"50% ",NA,NA,NA,"50% ",NA
"67","Alluheyah",NA,NA,NA,NA,NA,"100% ",NA
"68","Amran",NA,NA,"50% ",NA,NA,NA,"50% "
"69","Anss",NA,NA,NA,NA,NA,"100% ",NA
"70","Ar Rawdah","100% ",NA,NA,NA,NA,NA,NA
"71","Ar Raydah Wa Qusayar","100% ",NA,NA,NA,NA,NA,NA
"72","Ar Ryashyyah",NA,"100% ",NA,NA,NA,NA,NA
"73","Arhab",NA,"100% ",NA,NA,NA,NA,NA
