"","Average","Subset"
"1","16 ","Bakil Al Mir"
"2","21 ","Sa'fan"
"3","19 ","Al Madan"
"4","21.33 ","Mawiyah"
"5","20 ","As Sudah"
"6","21 ","Az'zal"
"7","20 ","Jabal Ra's"
"8","19.67 ","Huraidhah"
"9","20.6 ","Al Mansuriyah"
"10","19.25 ","Ghamr"
"11","20.33 ","Ahwar"
"12","23 ","Monabbih"
"13","20.25 ","Maswarah"
"14","16 ","Al Mualla"
"15","18.5 ","As Silw"
"16","20.33 ","Mazhar"
"17","18.8 ","Habil Jabr"
"18","17 ","Bani Al Awam"
"19","22 ","Bura"
"20","17.67 ","Qa'atabah"
"21","21 ","Al Miftah"
"22","19 ","Al Ghayl"
"23","21 ","Radfan"
"24","22 ","Al Bayda City"
"25","21 ","Salh"
"26","21 ","Zabid"
"27","19.43 ","Al Maghrabah"
"28","23 ","Dhubab"
"29","20.67 ","Ghayl Ba Wazir"
"30","22 ","Dimnat Khadir"
"31","19.67 ","Al Udayn"
"32","21 ","Hazm Al Udayn"
"33","18.33 ","Dhi Na'im"
"34","19.67 ","Ad Dahi"
"35","21 ","Al Hussein"
"36","21.33 ","Nati'"
"37","18 ","Hatib"
"38","21.5 ","Brom Mayfa"
"39","22 ","Al Malagim"
"40","18.33 ","Old City"
"41","20 ","Ash Shaghadirah"
"42","21 ","Ibb"
"43","17 ","Mudhaykhirah"
"44","22 ","Mashra'a Wa Hadnan"
"45","19.5 ","Hajjah"
"46","22.33 ","Radman Al Awad"
"47","20.6 ","Adh Dhlia'ah"
"48","20 ","Shahan"
"49","19 ","Al Mukalla"
"50","15.5 ","Bilad At Ta'am"
"51","21 ","Al Jubah"
"52","18.33 ","Tuban"
"53","19.33 ","Nisab"
"54","20 ","Saqayn"
"55","21 ","Sayun"
"56","16.5 ","Shu'aub"
"57","21 ","Shibam Kawkaban"
"58","20.5 ","At Taffah"
"59","18 ","As Sabain"
"60","19.5 ","Hagr As Sai'ar"
"61","22 ","Al Talh"
"62","21 ","Razih"
"63","18 ","Zingibar"
"64","19 ","Al Had"
"65","20.5 ","Alluheyah"
"66","19.5 ","Al Wazi'iyah"
"67","17 ","As Safra"
"68","20 ","Al Ashah"
"69","22 ","Al Buraiqeh"
"70","18 ","Al Ma'afer"
"71","22 ","Rumah"
"72","21 ","Yahr"
"73","18.5 ","Mustaba"
"74","19.5 ","Harib"
"75","14 ","Ad Durayhimi"
"76","21 ","Far Al Udayn"
"77","20 ","Al Khalq"
"78","21 ","Al Husha"
"79","21.5 ","Al Hazm"
"80","18.5 ","As Sawadiyah"
"81","20 ","Aflah Ash Shawm"
"82","18 ","Al Misrakh"
"83","18.6 ","Al Mahabishah"
"84","19 ","Al Bayda"
"85","17.33 ","Utmah"
"86","20 ","Hajr"
"87","19 ","Halimayn"
"88","20 ","Sahar"
"89","17 ","Bani Matar"
"90","19 ","Wusab Al Ali"
"91","22 ","Mawza"
"92","21 ","Ma'ain"
"93","19.33 ","Majz"
"94","20.5 ","Dhamar City"
"95","19.67 ","Bidbadah"
"96","22 ","Al Marawi'ah"
"97","23 ","Ash Shihr"
"98","21.33 ","Huth"
"99","19 ","Qafl Shamer"
"100","19 ","Raydah"
"101","20 ","Qarah"
"102","20.25 ","Al Madaribah Wa Al Arah"
"103","18 ","Kuhlan Affar"
"104","18.5 ","Al Dhaher"
"105","18.67 ","Hayran"
"106","24 ","Al Qahirah"
"107","19.67 ","Lawdar"
"108","20.67 ","Al Ghaydah"
"109","20 ","Al A'rsh"
"110","17 ","Marib City"
"111","20 ","Juban"
"112","21 ","Al Mina"
"113","22 ","Sa'adah"
"114","20.5 ","Sabir Al Mawadim"
"115","18.67 ","Ba'dan"
"116","19 ","Jardan"
"117","23 ","Huswain"
"118","23 ","Ath'thaorah"
"119","18 ","Al Manar"
"120","20 ","As Sawma'ah"
"121","20.67 ","Shara'b Ar Rawnah"
"122","18.5 ","Kharab Al Marashi"
"123","20 ","Al Hajjaylah"
"124","20.25 ","Majzar"
"125","23 ","Jahran"
"126","18 ","Rasad"
"127","19 ","Sabah"
"128","21 ","Al Munirah"
"129","21 ","Kharif"
"130","20.2 ","Sharas"
"131","23 ","Wadi Al Ayn"
"132","16.75 ","Usaylan"
"133","22.5 ","Mayfa'a"
"134","25 ","Attyal"
"135","18 ","Daw'an"
"136","17 ","Bani Suraim"
"137","19.33 ","Al Qaf"
"138","18.5 ","Baqim"
"139","21 ","Najrah"
"140","21.5 ","As Saddah"
"141","20 ","As Said"
"142","21 ","As Sawm"
"143","18.67 ","Kamaran"
"144","19 ","Marib"
"145","23 ","Khayran Al Muharraq"
"146","23 ","Ghayl Bin Yamin"
"147","23 ","Dar Sad"
"148","18.33 ","Jabal Habashy"
"149","20 ","Al Qatn"
"150","20.5 ","Manakhah"
"151","20 ","Hufash"
"152","20.5 ","Al Mukha"
"153","20.5 ","Al Makhadir"
"154","19.5 ","Khamir"
"155","19 ","Al Haymah Ad Dakhiliyah"
"156","19.67 ","Rada'"
"157","19 ","Sama"
"158","21.5 ","As Salafiyah"
"159","21 ","Shada'a"
"160","24 ","At Ta'iziyah"
