"","Subset","Peri-Urban","Rural","Urban"
"1","Ad Dahi","100% ",NA,NA
"2","Ad Dis",NA,"100% ",NA
"3","Ad Durayhimi",NA,"100% ",NA
"4","Adh Dhlia'ah","60% ","20% ","20% "
"5","Aflah Al Yaman",NA,"100% ",NA
"6","Aflah Ash Shawm","100% ",NA,NA
"7","Ahwar","33% ","67% ",NA
"8","Al A'rsh","50% ","50% ",NA
"9","Al Abdiyah","67% ",NA,"33% "
"10","Al Abr","100% ",NA,NA
"11","Al Ashah","100% ",NA,NA
"12","Al Bayda",NA,"100% ",NA
"13","Al Bayda City","100% ",NA,NA
"14","Al Buraiqeh",NA,"50% ","50% "
"15","Al Dhaher","50% ","50% ",NA
"16","Al Dhihar",NA,"50% ","50% "
"17","Al Ghaydah",NA,"33% ","67% "
"18","Al Ghayl","50% ","50% ",NA
"19","Al Had","100% ",NA,NA
"20","Al Hajjaylah",NA,NA,"100% "
"21","Al Hashwah","50% ","50% ",NA
"22","Al Haymah Ad Dakhiliyah",NA,NA,"100% "
"23","Al Haymah Al Kharijiyah",NA,"100% ",NA
"24","Al Hazm",NA,"50% ","50% "
"25","Al Humaydat","100% ",NA,NA
"26","Al Husha",NA,NA,"100% "
"27","Al Hussein",NA,NA,"100% "
"28","Al Jabin",NA,NA,"100% "
"29","Al Jafariyah","50% ","50% ",NA
"30","Al Jubah",NA,"100% ",NA
"31","Al Khalq","33% ","33% ","33% "
"32","Al Ma'afer","100% ",NA,NA
"33","Al Madan","50% ","50% ",NA
"34","Al Madaribah Wa Al Arah","50% ","50% ",NA
"35","Al Maghrabah","43% ","57% ",NA
"36","Al Mahabishah","20% ","80% ",NA
"37","Al Mahwait","50% ","50% ",NA
"38","Al Makhadir","100% ",NA,NA
"39","Al Malagim",NA,NA,"100% "
"40","Al Manar","100% ",NA,NA
"41","Al Mansura","50% ",NA,"50% "
"42","Al Mansuriyah","60% ","40% ",NA
"43","Al Marawi'ah","67% ",NA,"33% "
"44","Al Masilah",NA,"50% ","50% "
"45","Al Maslub",NA,"100% ",NA
"46","Al Matammah",NA,"100% ",NA
"47","Al Maton","50% ",NA,"50% "
"48","Al Mawasit",NA,NA,"100% "
"49","Al Miftah","100% ",NA,NA
"50","Al Milah",NA,"100% ",NA
"51","Al Mina","100% ",NA,NA
"52","Al Misrakh",NA,"50% ","50% "
"53","Al Mualla",NA,"100% ",NA
"54","Al Mukalla","50% ",NA,"50% "
"55","Al Mukalla City",NA,"100% ",NA
"56","Al Mukha",NA,"50% ","50% "
"57","Al Munirah",NA,"100% ",NA
"58","Al Musaymir","50% ",NA,"50% "
