"","Subset","Not accessible","Not applicable (item was accessible and affordable)","Price increase"
"1","Abyan","19% ","38% ","44% "
"2","Aden","78% ","11% ","11% "
"3","Al Bayda","21% ","41% ","38% "
"4","Al Dhale'e","44% ","11% ","44% "
"5","Al Hudaydah","28% ","34% ","38% "
"6","Al Jawf","21% ","50% ","29% "
"7","Al Maharah",NA,"36% ","64% "
"8","Al Mahwit","29% ","14% ","57% "
"9","Amanat Al Asimah","12% ","41% ","47% "
"10","Amran","25% ","42% ","33% "
"11","Dhamar","35% ","41% ","24% "
"12","Hadramaut","31% ","33% ","35% "
"13","Hajjah","35% ","41% ","24% "
"14","Ibb","23% ","54% ","23% "
"15","Lahj","40% ","15% ","45% "
"16","Marib","61% ","17% ","22% "
"17","Raymah","30% ","40% ","30% "
"18","Sa'ada","36% ","14% ","50% "
"19","Sana'a","33% ","57% ","10% "
"20","Shabwah","35% ","39% ","26% "
"21","Taizz","23% ","49% ","29% "
