"","Subset","Not accessible","Not applicable (item was accessible and affordable)","Price increase"
"1","Abyan","19% ","44% ","38% "
"2","Aden","44% ","44% ","11% "
"3","Al Bayda","28% ","41% ","31% "
"4","Al Dhale'e","33% ","44% ","22% "
"5","Al Hudaydah","38% ","38% ","24% "
"6","Al Jawf","43% ","29% ","29% "
"7","Al Maharah","27% ","45% ","27% "
"8","Al Mahwit","14% ","29% ","57% "
"9","Amanat Al Asimah","53% ","24% ","24% "
"10","Amran","38% ","21% ","42% "
"11","Dhamar","41% ","18% ","41% "
"12","Hadramaut","27% ","29% ","43% "
"13","Hajjah","22% ","41% ","37% "
"14","Ibb","42% ","46% ","12% "
"15","Lahj","35% ","45% ","20% "
"16","Marib","43% ","26% ","30% "
"17","Raymah","40% ","10% ","50% "
"18","Sa'ada","14% ","68% ","18% "
"19","Sana'a","19% ","48% ","33% "
"20","Shabwah","35% ","48% ","17% "
"21","Taizz","40% ","34% ","26% "
