"","Subset","A few (around 25%)","About half (around 50%)","Everyone (around 100%)","I don't know","Most (around 75%)","Nobody (around 0%)","Refuse to answer (DO NOT READ)"
"1","Abyan","19% ","12% ",NA,"6% ","19% ","12% ","31% "
"2","Aden",NA,"44% ","22% ",NA,NA,"22% ","11% "
"3","Al Bayda","8% ","18% ","8% ","15% ","5% ","15% ","31% "
"4","Al Dhale'e","11% ","22% ","22% ","22% ","11% ",NA,"11% "
"5","Al Hudaydah","10% ","3% ","24% ","17% ","14% ","10% ","21% "
"6","Al Jawf",NA,"14% ","14% ","7% ","43% ","7% ","14% "
"7","Al Maharah","9% ","9% ","9% ",NA,"27% ","36% ","9% "
"8","Al Mahwit","43% ","14% ",NA,"43% ",NA,NA,NA
"9","Amanat Al Asimah","12% ","6% ","18% ","6% ","24% ","6% ","29% "
"10","Amran","25% ","12% ",NA,"12% ","8% ","25% ","17% "
"11","Dhamar","12% ","6% ","12% ","12% ","29% ","18% ","12% "
"12","Hadramaut","10% ","29% ","10% ","8% ","16% ","14% ","14% "
"13","Hajjah","15% ","13% ","4% ","17% ","15% ","17% ","17% "
"14","Ibb","19% ","23% ","12% ","12% ","12% ","15% ","8% "
"15","Lahj","15% ","15% ","10% ","25% ","15% ","10% ","10% "
"16","Marib","17% ","9% ","17% ","13% ","9% ","26% ","9% "
"17","Raymah","10% ","20% ","20% ","10% ","20% ",NA,"20% "
"18","Sa'ada","9% ","23% ","5% ","14% ","14% ","18% ","18% "
"19","Sana'a","5% ","33% ","5% ","19% ","10% ","24% ","5% "
"20","Shabwah","22% ","17% ","17% ","13% ","9% ","9% ","13% "
"21","Taizz","23% ","6% ","23% ","20% ","11% ","6% ","11% "
