"","Subset","I don't know","No","Refuse to answer (DO NOT READ)","Yes"
"1","Abyan","19% ","25% ","38% ","19% "
"2","Aden","33% ","44% ","22% ",NA
"3","Al Bayda","15% ","33% ","26% ","26% "
"4","Al Dhale'e","33% ",NA,"33% ","33% "
"5","Al Hudaydah","41% ","21% ","24% ","14% "
"6","Al Jawf","29% ","50% ","14% ","7% "
"7","Al Maharah","18% ","45% ",NA,"36% "
"8","Al Mahwit","57% ","14% ",NA,"29% "
"9","Amanat Al Asimah","24% ","24% ","35% ","18% "
"10","Amran","29% ","21% ","25% ","25% "
"11","Dhamar","24% ","24% ","24% ","29% "
"12","Hadramaut","20% ","29% ","25% ","25% "
"13","Hajjah","20% ","28% ","26% ","26% "
"14","Ibb","35% ","23% ","19% ","23% "
"15","Lahj","15% ","35% ","30% ","20% "
"16","Marib","17% ","26% ","30% ","26% "
"17","Raymah","30% ","40% ","10% ","20% "
"18","Sa'ada","36% ","27% ","23% ","14% "
"19","Sana'a","14% ","38% ","19% ","29% "
"20","Shabwah","22% ","22% ","26% ","30% "
"21","Taizz","17% ","37% ","26% ","20% "
