"","Subset","I don't know","No","Refuse to answer (DO NOT READ)","Yes"
"1","Abyan","19% ","25% ","19% ","38% "
"2","Aden","11% ","44% ","11% ","33% "
"3","Al Bayda","26% ","23% ","23% ","28% "
"4","Al Dhale'e","22% ","22% ","33% ","22% "
"5","Al Hudaydah","38% ","17% ","21% ","24% "
"6","Al Jawf","7% ","14% ","57% ","21% "
"7","Al Maharah","36% ","9% ","36% ","18% "
"8","Al Mahwit","14% ","29% ","29% ","29% "
"9","Amanat Al Asimah","18% ","24% ","41% ","18% "
"10","Amran","12% ","38% ","29% ","21% "
"11","Dhamar","24% ","29% ","24% ","24% "
"12","Hadramaut","31% ","24% ","25% ","20% "
"13","Hajjah","26% ","37% ","20% ","17% "
"14","Ibb","27% ","27% ","12% ","35% "
"15","Lahj","20% ","25% ","20% ","35% "
"16","Marib","30% ","22% ","30% ","17% "
"17","Raymah","10% ","10% ","50% ","30% "
"18","Sa'ada","27% ","23% ","18% ","32% "
"19","Sana'a","29% ","29% ","33% ","10% "
"20","Shabwah","17% ","17% ","26% ","39% "
"21","Taizz","29% ","14% ","20% ","37% "
