"","Subset","I don't know","No","Refuse to answer (DO NOT READ)","Yes"
"1","Abyan","31% ","25% ","12% ","31% "
"2","Aden","33% ",NA,"22% ","44% "
"3","Al Bayda","28% ","26% ","23% ","23% "
"4","Al Dhale'e",NA,"67% ","11% ","22% "
"5","Al Hudaydah","28% ","24% ","28% ","21% "
"6","Al Jawf","29% ","29% ","21% ","21% "
"7","Al Maharah","27% ",NA,"36% ","36% "
"8","Al Mahwit","29% ","29% ","29% ","14% "
"9","Amanat Al Asimah","35% ","29% ","24% ","12% "
"10","Amran","21% ","25% ","46% ","8% "
"11","Dhamar","29% ","53% ","6% ","12% "
"12","Hadramaut","12% ","27% ","35% ","25% "
"13","Hajjah","26% ","20% ","37% ","17% "
"14","Ibb","8% ","38% ","31% ","23% "
"15","Lahj","20% ","45% ","20% ","15% "
"16","Marib","35% ","17% ","13% ","35% "
"17","Raymah","20% ","20% ","20% ","40% "
"18","Sa'ada","14% ","14% ","23% ","50% "
"19","Sana'a","33% ","19% ","29% ","19% "
"20","Shabwah","13% ","30% ","22% ","35% "
"21","Taizz","26% ","34% ","23% ","17% "
