"","Subset","Not accessible","Not applicable (item was accessible and affordable)","Price increase"
"1","Abyan","31% ","25% ","44% "
"2","Aden","33% ","22% ","44% "
"3","Al Bayda","33% ","26% ","41% "
"4","Al Dhale'e","11% ","44% ","44% "
"5","Al Hudaydah","31% ","31% ","38% "
"6","Al Jawf","36% ","50% ","14% "
"7","Al Maharah","45% ","9% ","45% "
"8","Al Mahwit","43% ","29% ","29% "
"9","Amanat Al Asimah","53% ","29% ","18% "
"10","Amran","25% ","33% ","42% "
"11","Dhamar","41% ","24% ","35% "
"12","Hadramaut","45% ","25% ","29% "
"13","Hajjah","30% ","37% ","33% "
"14","Ibb","27% ","23% ","50% "
"15","Lahj","25% ","35% ","40% "
"16","Marib","35% ","30% ","35% "
"17","Raymah","40% ","50% ","10% "
"18","Sa'ada","36% ","14% ","50% "
"19","Sana'a","33% ","33% ","33% "
"20","Shabwah","35% ","30% ","35% "
"21","Taizz","29% ","40% ","31% "
