"","Subset","Not accessible","Not applicable (item was accessible and affordable)","Price increase"
"1","Abyan","38% ","31% ","31% "
"2","Aden","33% ","44% ","22% "
"3","Al Bayda","31% ","31% ","38% "
"4","Al Dhale'e","22% ","11% ","67% "
"5","Al Hudaydah","48% ","41% ","10% "
"6","Al Jawf","36% ","21% ","43% "
"7","Al Maharah","36% ","27% ","36% "
"8","Al Mahwit","43% ","29% ","29% "
"9","Amanat Al Asimah","35% ","47% ","18% "
"10","Amran","46% ","33% ","21% "
"11","Dhamar","6% ","24% ","71% "
"12","Hadramaut","39% ","31% ","29% "
"13","Hajjah","41% ","17% ","41% "
"14","Ibb","31% ","31% ","38% "
"15","Lahj","15% ","30% ","55% "
"16","Marib","39% ","35% ","26% "
"17","Raymah","30% ","40% ","30% "
"18","Sa'ada","27% ","45% ","27% "
"19","Sana'a","19% ","38% ","43% "
"20","Shabwah","26% ","35% ","39% "
"21","Taizz","31% ","34% ","34% "
