"","Subset","Not accessible","Not applicable (item was accessible and affordable)","Price increase"
"1","Abyan","12% ","69% ","19% "
"2","Aden","56% ","11% ","33% "
"3","Al Bayda","28% ","28% ","44% "
"4","Al Dhale'e","33% ","11% ","56% "
"5","Al Hudaydah","38% ","34% ","28% "
"6","Al Jawf","29% ","43% ","29% "
"7","Al Maharah","55% ","18% ","27% "
"8","Al Mahwit","29% ","14% ","57% "
"9","Amanat Al Asimah","41% ","29% ","29% "
"10","Amran","25% ","42% ","33% "
"11","Dhamar","18% ","53% ","29% "
"12","Hadramaut","37% ","29% ","33% "
"13","Hajjah","43% ","24% ","33% "
"14","Ibb","15% ","35% ","50% "
"15","Lahj","20% ","35% ","45% "
"16","Marib","35% ","26% ","39% "
"17","Raymah","30% ","50% ","20% "
"18","Sa'ada","50% ","14% ","36% "
"19","Sana'a","24% ","24% ","52% "
"20","Shabwah","39% ","48% ","13% "
"21","Taizz","34% ","46% ","20% "
