"","Subset","I don't know","No","Refuse to answer (DO NOT READ)","Yes"
"1","Abyan","25% ","6% ","25% ","44% "
"2","Aden","33% ","44% ",NA,"22% "
"3","Al Bayda","13% ","23% ","33% ","31% "
"4","Al Dhale'e","11% ","33% ",NA,"56% "
"5","Al Hudaydah","38% ","24% ","28% ","10% "
"6","Al Jawf","14% ","29% ","36% ","21% "
"7","Al Maharah","18% ","27% ","18% ","36% "
"8","Al Mahwit",NA,"57% ","14% ","29% "
"9","Amanat Al Asimah","29% ","29% ","29% ","12% "
"10","Amran","21% ","25% ","38% ","17% "
"11","Dhamar","24% ","29% ","29% ","18% "
"12","Hadramaut","31% ","29% ","18% ","22% "
"13","Hajjah","17% ","35% ","26% ","22% "
"14","Ibb","23% ","31% ","23% ","23% "
"15","Lahj","20% ","45% ","10% ","25% "
"16","Marib","30% ","26% ","26% ","17% "
"17","Raymah","30% ","20% ","20% ","30% "
"18","Sa'ada","27% ","18% ","14% ","41% "
"19","Sana'a","33% ","10% ","24% ","33% "
"20","Shabwah","26% ","22% ","30% ","22% "
"21","Taizz","23% ","17% ","34% ","26% "
