"","Subset","Not accessible","Not applicable (item was accessible and affordable)","Price increase"
"1","Abyan","25% ","50% ","25% "
"2","Aden","33% ","22% ","44% "
"3","Al Bayda","31% ","18% ","51% "
"4","Al Dhale'e","33% ","56% ","11% "
"5","Al Hudaydah","24% ","34% ","41% "
"6","Al Jawf","14% ","64% ","21% "
"7","Al Maharah","18% ","27% ","55% "
"8","Al Mahwit","43% ","14% ","43% "
"9","Amanat Al Asimah","12% ","53% ","35% "
"10","Amran","42% ","29% ","29% "
"11","Dhamar","47% ","29% ","24% "
"12","Hadramaut","25% ","41% ","33% "
"13","Hajjah","30% ","35% ","35% "
"14","Ibb","31% ","19% ","50% "
"15","Lahj","45% ","40% ","15% "
"16","Marib","39% ","17% ","43% "
"17","Raymah","40% ","30% ","30% "
"18","Sa'ada","36% ","23% ","41% "
"19","Sana'a","43% ","29% ","29% "
"20","Shabwah","52% ","22% ","26% "
"21","Taizz","31% ","37% ","31% "
