"","Subset","Not accessible","Not applicable (item was accessible and affordable)","Price increase"
"1","Abyan","25% ","38% ","38% "
"2","Aden","67% ","11% ","22% "
"3","Al Bayda","41% ","26% ","33% "
"4","Al Dhale'e","22% ","56% ","22% "
"5","Al Hudaydah","38% ","41% ","21% "
"6","Al Jawf","57% ",NA,"43% "
"7","Al Maharah",NA,"18% ","82% "
"8","Al Mahwit","57% ","29% ","14% "
"9","Amanat Al Asimah","53% ","35% ","12% "
"10","Amran","42% ","21% ","38% "
"11","Dhamar","41% ","24% ","35% "
"12","Hadramaut","31% ","41% ","27% "
"13","Hajjah","30% ","43% ","26% "
"14","Ibb","38% ","15% ","46% "
"15","Lahj","20% ","45% ","35% "
"16","Marib","43% ","30% ","26% "
"17","Raymah","40% ","40% ","20% "
"18","Sa'ada","27% ","27% ","45% "
"19","Sana'a","29% ","29% ","43% "
"20","Shabwah","35% ","30% ","35% "
"21","Taizz","31% ","34% ","34% "
