"","Subset","Not accessible","Not applicable (item was accessible and affordable)","Price increase"
"1","Abyan","12% ","38% ","50% "
"2","Aden","11% ","44% ","44% "
"3","Al Bayda","21% ","38% ","41% "
"4","Al Dhale'e","22% ","44% ","33% "
"5","Al Hudaydah","34% ","24% ","41% "
"6","Al Jawf","43% ","29% ","29% "
"7","Al Maharah","36% ","36% ","27% "
"8","Al Mahwit","29% ","57% ","14% "
"9","Amanat Al Asimah","35% ","29% ","35% "
"10","Amran","33% ","42% ","25% "
"11","Dhamar","29% ","41% ","29% "
"12","Hadramaut","24% ","45% ","31% "
"13","Hajjah","35% ","30% ","35% "
"14","Ibb","23% ","38% ","38% "
"15","Lahj","25% ","25% ","50% "
"16","Marib","22% ","52% ","26% "
"17","Raymah","60% ","20% ","20% "
"18","Sa'ada","45% ","14% ","41% "
"19","Sana'a","43% ","33% ","24% "
"20","Shabwah","48% ","26% ","26% "
"21","Taizz","37% ","31% ","31% "
