"","Subset","I don't know","No","Refuse to answer (DO NOT READ)","Yes"
"1","Abyan","38% ","31% ","19% ","12% "
"2","Aden","22% ","22% ","22% ","33% "
"3","Al Bayda","21% ","33% ","18% ","28% "
"4","Al Dhale'e","56% ","22% ",NA,"22% "
"5","Al Hudaydah","28% ","24% ","38% ","10% "
"6","Al Jawf","36% ","29% ","14% ","21% "
"7","Al Maharah","9% ","27% ","36% ","27% "
"8","Al Mahwit",NA,"57% ","14% ","29% "
"9","Amanat Al Asimah","47% ","18% ","18% ","18% "
"10","Amran","17% ","33% ","42% ","8% "
"11","Dhamar","12% ","18% ","47% ","24% "
"12","Hadramaut","14% ","31% ","25% ","29% "
"13","Hajjah","28% ","15% ","35% ","22% "
"14","Ibb","23% ","23% ","23% ","31% "
"15","Lahj","20% ","15% ","40% ","25% "
"16","Marib","17% ","26% ","39% ","17% "
"17","Raymah","20% ","20% ","60% ",NA
"18","Sa'ada","23% ","32% ","18% ","27% "
"19","Sana'a","29% ","33% ","24% ","14% "
"20","Shabwah","22% ","35% ","17% ","26% "
"21","Taizz","26% ","17% ","23% ","34% "
