"","Subset","Bin in the household/streets","Burn it","Bury it","Communal pit","Designated open area","Household pit","I don't know","Other (please specify):","Refuse to answer (DO NOT READ)","Undesignated open area"
"1","Abyan","6% ",NA,"12% ","12% ",NA,"12% ","25% ","12% ","6% ","12% "
"2","Aden","11% ","11% ","22% ",NA,"22% ","11% ",NA,"11% ",NA,"11% "
"3","Al Bayda","8% ","10% ","13% ","13% ","10% ","10% ","5% ","15% ","8% ","8% "
"4","Al Dhale'e","22% ","22% ",NA,NA,NA,NA,"22% ","22% ",NA,"11% "
"5","Al Hudaydah","10% ","10% ","14% ","10% ","7% ","14% ","3% ","14% ","10% ","7% "
"6","Al Jawf","7% ","21% ","7% ",NA,"7% ","14% ",NA,"21% ","14% ","7% "
"7","Al Maharah","18% ",NA,NA,NA,NA,"9% ","9% ",NA,"27% ","36% "
"8","Al Mahwit","14% ","14% ",NA,"14% ",NA,NA,"29% ",NA,"14% ","14% "
"9","Amanat Al Asimah","24% ","12% ","12% ","6% ","6% ","6% ","6% ","12% ","12% ","6% "
"10","Amran","8% ","12% ",NA,"29% ",NA,"12% ","4% ","17% ","4% ","12% "
"11","Dhamar","18% ","12% ","18% ","12% ",NA,"6% ","12% ","18% ","6% ",NA
"12","Hadramaut","14% ","6% ","4% ","8% ","16% ","4% ","8% ","16% ","14% ","12% "
"13","Hajjah","7% ","4% ","9% ","13% ","15% ","7% ","7% ","7% ","20% ","13% "
"14","Ibb","23% ","12% ","8% ","12% ","4% ","15% ","4% ","4% ","8% ","12% "
"15","Lahj","5% ","10% ","15% ","5% ","5% ","10% ","5% ","30% ","5% ","10% "
"16","Marib","4% ","22% ","9% ","13% ","13% ","4% ","17% ","4% ","4% ","9% "
"17","Raymah",NA,"10% ","40% ",NA,"30% ",NA,NA,"10% ",NA,"10% "
"18","Sa'ada","5% ","23% ","5% ","9% ",NA,"18% ","14% ","9% ","14% ","5% "
"19","Sana'a","5% ","5% ","10% ","10% ","5% ","10% ","14% ","19% ","14% ","10% "
"20","Shabwah","9% ","13% ","9% ",NA,"13% ","4% ","9% ","22% ","4% ","17% "
"21","Taizz","14% ","11% ",NA,"9% ","14% ","6% ","3% ","23% ","9% ","11% "
