"","Subset","A few (around 25%)","About half (around 50%)","Everyone (around 100%)","I don't know","Most (around 75%)","Nobody (around 0%)","Refuse to answer (DO NOT READ)"
"1","Abyan","6% ","12% ","12% ","31% ","6% ","25% ","6% "
"2","Aden","44% ",NA,"11% ","22% ","22% ",NA,NA
"3","Al Bayda","15% ","10% ","5% ","15% ","15% ","21% ","18% "
"4","Al Dhale'e","33% ","11% ",NA,"11% ","11% ","11% ","22% "
"5","Al Hudaydah","14% ","21% ","10% ","21% ","3% ","10% ","21% "
"6","Al Jawf","21% ","14% ","29% ","7% ","7% ","14% ","7% "
"7","Al Maharah","18% ","18% ","18% ","18% ","18% ",NA,"9% "
"8","Al Mahwit","29% ","14% ","29% ","29% ",NA,NA,NA
"9","Amanat Al Asimah","18% ","29% ","18% ","6% ","12% ","12% ","6% "
"10","Amran",NA,"17% ","17% ","21% ","8% ","29% ","8% "
"11","Dhamar","18% ","12% ","6% ","6% ","41% ",NA,"18% "
"12","Hadramaut","18% ","12% ","4% ","14% ","16% ","18% ","20% "
"13","Hajjah","13% ","20% ","9% ","17% ","13% ","17% ","11% "
"14","Ibb","12% ","31% ",NA,"27% ",NA,"12% ","19% "
"15","Lahj","10% ","15% ","25% ","15% ","25% ",NA,"10% "
"16","Marib","13% ","26% ","9% ","13% ","4% ","13% ","22% "
"17","Raymah","20% ","10% ","10% ","10% ","10% ","30% ","10% "
"18","Sa'ada","14% ","5% ","9% ","23% ","14% ","9% ","27% "
"19","Sana'a","14% ","19% ","14% ","24% ","5% ","10% ","14% "
"20","Shabwah","4% ","17% ","9% ","17% ","22% ","9% ","22% "
"21","Taizz","23% ","26% ","20% ","3% ","6% ","20% ","3% "
