"","Subset","A few (around 25%)","About half (around 50%)","Everyone (around 100%)","I don't know","Most (around 75%)","Nobody (around 0%)","Refuse to answer (DO NOT READ)"
"1","Abyan","19% ",NA,"25% ","25% ","6% ","6% ","19% "
"2","Aden","22% ",NA,"11% ","33% ","11% ","11% ","11% "
"3","Al Bayda","18% ","26% ","18% ","10% ","13% ","8% ","8% "
"4","Al Dhale'e","11% ","11% ","22% ",NA,"22% ","11% ","22% "
"5","Al Hudaydah","17% ","7% ","14% ","14% ","14% ","24% ","10% "
"6","Al Jawf","7% ","21% ","7% ","21% ","7% ","36% ",NA
"7","Al Maharah","9% ","18% ","9% ","9% ","9% ","18% ","27% "
"8","Al Mahwit",NA,NA,"43% ","43% ",NA,NA,"14% "
"9","Amanat Al Asimah","12% ","12% ","12% ","18% ","24% ","12% ","12% "
"10","Amran","29% ","8% ","4% ","21% ","4% ","12% ","21% "
"11","Dhamar","24% ","6% ","6% ","29% ","24% ","12% ",NA
"12","Hadramaut","12% ","20% ","12% ","12% ","22% ","12% ","12% "
"13","Hajjah","15% ","17% ","4% ","13% ","22% ","11% ","17% "
"14","Ibb","4% ","12% ","19% ","19% ","23% ","15% ","8% "
"15","Lahj","20% ","15% ","15% ","15% ","5% ","15% ","15% "
"16","Marib","9% ","4% ","17% ","17% ","30% ","13% ","9% "
"17","Raymah","10% ","20% ","10% ",NA,NA,"40% ","20% "
"18","Sa'ada",NA,"18% ","9% ","14% ","27% ","23% ","9% "
"19","Sana'a","14% ","29% ","10% ","5% ","24% ","5% ","14% "
"20","Shabwah","4% ","26% ","4% ","9% ","22% ","17% ","17% "
"21","Taizz","26% ","6% ","14% ","11% ","14% ","11% ","17% "
