"","Subset","Going to the sanitation facilities (latrines/toilets) is dangerous","I don't know","Lack of sanitation facilities (latrines/toilets) / facilities too crowded","Refuse to answer (DO NOT READ)","Sanitation facilities (latrines/toilets) are difficult to reach (especially for people with disabilities)","Sanitation facilities (latrines/toilets) are not functioning or full (overflowing septic tanks)","Sanitation facilities (latrines/toilets) are not private (no locks/door/walls/lighting etc.)","Sanitation facilities (latrines/toilets) are not segregated between men and women","Sanitation facilities (latrines/toilets) are too far","Sanitation facilities (latrines/toilets) are unclean/unhygienic","Sanitation facilities (latrines/toilets) lack a system/trucks for removing sewage tank","Some groups (children, women, elderly, ethnic minorities, etc.) do not have access to sanitation  facilities (latrines/toilets) ","The sewage pipes are broken","There is sewage in the streets"
"1","Abyan","69% ","25% ","50% ","50% ","31% ","44% ","38% ","31% ","62% ","50% ","56% ","56% ","56% ","50% "
"2","Aden","33% ","56% ","67% ","56% ","67% ","100% ","56% ","78% ","22% ","33% ","44% ","44% ","78% ","44% "
"3","Al Bayda","54% ","44% ","44% ","49% ","46% ","41% ","49% ","28% ","46% ","41% ","54% ","44% ","44% ","51% "
"4","Al Dhale'e","44% ","56% ","44% ","44% ","56% ","78% ","67% ","89% ","56% ","56% ","44% ","67% ","33% ","56% "
"5","Al Hudaydah","59% ","34% ","55% ","55% ","41% ","45% ","48% ","55% ","52% ","55% ","66% ","48% ","59% ","62% "
"6","Al Jawf","50% ","57% ","64% ","57% ","50% ","50% ","57% ","57% ","29% ","71% ","36% ","50% ","71% ","57% "
"7","Al Maharah","64% ","36% ","55% ","55% ","55% ","36% ","45% ","73% ","55% ","36% ","45% ","27% ","27% ","64% "
"8","Al Mahwit","43% ","86% ","43% ","57% ","71% ","71% ","57% ","29% ","29% ","71% ","57% ","57% ","14% ","43% "
"9","Amanat Al Asimah","65% ","53% ","35% ","59% ","35% ","59% ","59% ","71% ","35% ","24% ","53% ","76% ","29% ","53% "
"10","Amran","46% ","42% ","38% ","58% ","50% ","58% ","62% ","46% ","46% ","54% ","42% ","54% ","75% ","54% "
"11","Dhamar","47% ","41% ","41% ","41% ","59% ","47% ","47% ","47% ","47% ","41% ","53% ","41% ","35% ","35% "
"12","Hadramaut","45% ","61% ","41% ","59% ","51% ","49% ","53% ","59% ","51% ","61% ","45% ","37% ","55% ","51% "
"13","Hajjah","57% ","46% ","35% ","50% ","48% ","57% ","63% ","57% ","54% ","48% ","41% ","57% ","57% ","67% "
"14","Ibb","62% ","58% ","46% ","62% ","50% ","58% ","65% ","42% ","42% ","58% ","38% ","54% ","42% ","81% "
"15","Lahj","55% ","50% ","60% ","55% ","65% ","45% ","25% ","35% ","60% ","60% ","60% ","25% ","75% ","70% "
"16","Marib","48% ","30% ","35% ","48% ","39% ","57% ","30% ","65% ","48% ","35% ","61% ","48% ","52% ","39% "
"17","Raymah","50% ","50% ","50% ","60% ","50% ","50% ","60% ","30% ","60% ","60% ","50% ","40% ","40% ","70% "
"18","Sa'ada","64% ","68% ","45% ","59% ","36% ","32% ","45% ","14% ","50% ","55% ","45% ","45% ","55% ","50% "
"19","Sana'a","52% ","62% ","48% ","62% ","67% ","52% ","48% ","62% ","48% ","38% ","43% ","48% ","57% ","57% "
"20","Shabwah","35% ","57% ","35% ","57% ","48% ","43% ","74% ","35% ","57% ","57% ","61% ","57% ","35% ","48% "
"21","Taizz","60% ","54% ","34% ","31% ","49% ","54% ","54% ","34% ","49% ","57% ","46% ","60% ","54% ","49% "
