"","Subset","A few (around 25%)","About half (around 50%)","Everyone (around 100%)","I don't know","Most (around 75%)","Nobody (around 0%)","Refuse to answer (DO NOT READ)"
"1","Abyan","6% ","12% ","12% ","6% ","19% ","25% ","19% "
"2","Aden","22% ","11% ","11% ",NA,"44% ","11% ",NA
"3","Al Bayda","8% ","18% ","10% ","15% ","23% ","15% ","10% "
"4","Al Dhale'e","22% ",NA,"22% ","22% ","22% ","11% ",NA
"5","Al Hudaydah","14% ","3% ","17% ","10% ","14% ","17% ","24% "
"6","Al Jawf","21% ",NA,NA,"36% ",NA,"14% ","29% "
"7","Al Maharah","36% ","18% ",NA,"9% ","36% ",NA,NA
"8","Al Mahwit","14% ",NA,NA,"57% ","29% ",NA,NA
"9","Amanat Al Asimah","24% ","24% ","12% ","12% ","6% ","6% ","18% "
"10","Amran","12% ","8% ","12% ","8% ","21% ","21% ","17% "
"11","Dhamar","12% ","12% ","12% ","24% ","18% ","6% ","18% "
"12","Hadramaut","22% ","16% ","24% ","10% ","8% ","12% ","10% "
"13","Hajjah","20% ","15% ","7% ","17% ","17% ","9% ","15% "
"14","Ibb","19% ","8% ","15% ","12% ","12% ","27% ","8% "
"15","Lahj","25% ","15% ","20% ","10% ","5% ","20% ","5% "
"16","Marib","13% ","9% ","17% ","22% ","13% ","17% ","9% "
"17","Raymah","20% ",NA,"40% ","10% ","10% ","10% ","10% "
"18","Sa'ada","18% ",NA,"32% ",NA,"23% ","14% ","14% "
"19","Sana'a",NA,"33% ","33% ","10% ","10% ","10% ","5% "
"20","Shabwah","9% ","4% ","13% ","22% ","13% ","26% ","13% "
"21","Taizz","6% ","17% ","11% ","14% ","23% ","14% ","14% "
