"","Subset","A few (around 25%)","About half (around 50%)","Everyone (around 100%)","I don't know","Most (around 75%)","Nobody (around 0%)","Refuse to answer (DO NOT READ)"
"1","Abyan","12% ","25% ","6% ",NA,"19% ","6% ","31% "
"2","Aden","11% ",NA,NA,"44% ","11% ","11% ","22% "
"3","Al Bayda","13% ","13% ","5% ","13% ","13% ","15% ","28% "
"4","Al Dhale'e","11% ","11% ","11% ","33% ",NA,"22% ","11% "
"5","Al Hudaydah","3% ","21% ","17% ","7% ","21% ","17% ","14% "
"6","Al Jawf",NA,"14% ","7% ","29% ","43% ","7% ",NA
"7","Al Maharah","27% ","9% ","9% ","27% ",NA,"9% ","18% "
"8","Al Mahwit",NA,"14% ","29% ","14% ","14% ",NA,"29% "
"9","Amanat Al Asimah","6% ","12% ",NA,"18% ","29% ","12% ","24% "
"10","Amran","17% ","4% ","21% ","17% ","12% ","8% ","21% "
"11","Dhamar","24% ","18% ","12% ","12% ","12% ","18% ","6% "
"12","Hadramaut","12% ","16% ","12% ","10% ","18% ","22% ","12% "
"13","Hajjah","17% ","24% ","9% ","9% ","17% ","7% ","17% "
"14","Ibb","15% ","23% ","12% ","15% ","8% ","12% ","15% "
"15","Lahj",NA,"5% ","10% ","25% ","5% ","30% ","25% "
"16","Marib","9% ","9% ","9% ","35% ","13% ","17% ","9% "
"17","Raymah",NA,"20% ","20% ","20% ","10% ","20% ","10% "
"18","Sa'ada","14% ","14% ","5% ","14% ","23% ","9% ","23% "
"19","Sana'a","19% ","10% ","10% ","14% ","24% ","10% ","14% "
"20","Shabwah","13% ","4% ",NA,"22% ","26% ","22% ","13% "
"21","Taizz","20% ","11% ","11% ","20% ","11% ","6% ","20% "
