"","Subset","Borehole","Bottled water","I don't know","Illegal connection to piped network","Piped water connected to public tap","Piped water into compound","Protected rainwater tank","Protected spring","Protected well","Refuse to answer (DO NOT READ)","Surface water (river, damn, lake, pond, stream, canal)","Unprotected rainwater tank","Unprotected spring","Unprotected well","Water trucking"
"1","Abyan","12% ","6% ",NA,NA,"19% ","12% ","6% ","6% ","6% ","6% ",NA,"6% ",NA,"6% ","12% "
"2","Aden","11% ",NA,"22% ",NA,NA,"11% ","11% ","11% ","11% ",NA,NA,"11% ",NA,NA,"11% "
"3","Al Bayda","10% ","10% ",NA,"5% ","10% ","3% ","5% ","5% ","5% ","8% ",NA,"10% ","8% ","13% ","8% "
"4","Al Dhale'e",NA,NA,NA,"22% ",NA,NA,NA,"11% ",NA,"11% ",NA,"22% ","11% ","11% ","11% "
"5","Al Hudaydah","3% ","7% ","7% ","7% ","7% ","10% ","3% ","3% ",NA,"7% ","7% ","14% ","3% ","3% ","17% "
"6","Al Jawf","7% ","7% ",NA,"7% ",NA,"14% ","7% ","7% ",NA,"7% ","7% ","14% ","7% ","7% ","7% "
"7","Al Maharah","9% ","18% ",NA,NA,NA,NA,"9% ",NA,"36% ",NA,NA,"9% ",NA,NA,"18% "
"8","Al Mahwit","14% ",NA,NA,"14% ",NA,NA,NA,NA,"14% ",NA,"14% ","14% ",NA,"29% ",NA
"9","Amanat Al Asimah",NA,NA,"18% ","6% ",NA,"12% ","6% ",NA,"12% ","29% ","6% ",NA,NA,"6% ","6% "
"10","Amran","8% ",NA,"4% ","8% ","4% ",NA,"4% ","12% ",NA,"12% ","12% ","4% ","17% ","8% ","4% "
"11","Dhamar","6% ",NA,"12% ","6% ","6% ","6% ","6% ","6% ",NA,"6% ",NA,"29% ",NA,NA,"18% "
"12","Hadramaut","8% ","10% ","10% ","8% ","8% ","4% ","8% ","8% ","2% ","6% ","10% ","8% ","2% ","10% ",NA
"13","Hajjah","7% ","2% ","2% ",NA,"7% ","2% ","4% ","13% ","13% ","7% ","2% ","11% ","7% ","17% ","7% "
"14","Ibb","12% ","15% ","8% ","4% ","4% ","4% ","4% ","8% ","4% ","4% ","15% ","4% ","8% ","4% ","4% "
"15","Lahj","5% ","5% ","10% ","5% ","5% ","5% ","10% ",NA,"15% ","5% ","10% ",NA,NA,"10% ","15% "
"16","Marib","4% ","13% ",NA,"9% ","4% ",NA,"13% ","9% ","4% ","13% ","13% ",NA,"4% ","9% ","4% "
"17","Raymah","10% ","10% ",NA,"20% ",NA,"10% ",NA,"10% ","20% ",NA,NA,"20% ",NA,NA,NA
"18","Sa'ada","9% ","14% ","9% ","9% ",NA,"5% ","5% ","14% ","5% ","5% ","14% ","5% ",NA,"5% ","5% "
"19","Sana'a","5% ","5% ","5% ","19% ","5% ","14% ",NA,"10% ","5% ","5% ","5% ","10% ","5% ","5% ","5% "
"20","Shabwah","9% ","9% ","4% ","9% ","4% ",NA,"17% ","4% ","4% ","9% ","4% ","4% ","22% ",NA,NA
"21","Taizz","3% ","6% ","9% ","9% ",NA,"14% ","6% ","9% ","17% ","6% ","3% ","6% ","3% ","3% ","9% "
