"","Subset","Borehole","Bottled water","I don't know","Illegal connection to piped network","Piped water connected to public tap","Piped water into compound","Protected rainwater tank","Protected spring","Protected well","Refuse to answer (DO NOT READ)","Surface water (river, damn, lake, pond, stream, canal)","Unprotected rainwater tank","Unprotected spring","Unprotected well","Water trucking"
"1","Abyan",NA,"6% ","6% ","12% ",NA,NA,"12% ","6% ","12% ","6% ","6% ","19% ",NA,NA,"12% "
"2","Aden",NA,"33% ","11% ",NA,"11% ","11% ",NA,"11% ",NA,NA,NA,NA,"22% ",NA,NA
"3","Al Bayda","10% ",NA,"3% ","5% ","10% ","5% ","10% ","10% ","8% ","5% ","13% ","8% ",NA,"5% ","8% "
"4","Al Dhale'e","11% ",NA,NA,NA,"33% ",NA,NA,"11% ",NA,NA,"22% ",NA,"11% ",NA,"11% "
"5","Al Hudaydah",NA,"3% ","3% ","7% ","10% ","3% ","14% ","10% ","7% ","14% ",NA,"14% ","3% ","3% ","7% "
"6","Al Jawf",NA,NA,"14% ",NA,"7% ","7% ","21% ",NA,"7% ",NA,"7% ","7% ",NA,"7% ","21% "
"7","Al Maharah","18% ","9% ","18% ",NA,NA,NA,"18% ",NA,NA,"9% ",NA,"9% ","9% ",NA,"9% "
"8","Al Mahwit",NA,"14% ",NA,NA,"14% ",NA,"14% ",NA,"14% ",NA,NA,NA,"29% ",NA,"14% "
"9","Amanat Al Asimah","12% ","18% ",NA,"6% ",NA,"12% ","12% ","6% ",NA,"12% ",NA,"12% ","6% ","6% ",NA
"10","Amran","8% ","12% ","4% ","8% ","4% ","8% ",NA,"8% ","4% ",NA,NA,"8% ","12% ","12% ","8% "
"11","Dhamar","6% ","6% ","6% ","6% ","6% ","6% ",NA,"6% ","18% ",NA,"6% ","12% ","12% ",NA,"12% "
"12","Hadramaut","10% ","6% ","4% ","4% ","6% ","8% ","10% ","8% ","8% ","4% ","8% ","10% ","10% ","2% ","4% "
"13","Hajjah",NA,"15% ","2% ","9% ","9% ","13% ","15% ","2% ",NA,"4% ","7% ","9% ","2% ","11% ","2% "
"14","Ibb","19% ","4% ","4% ","4% ","12% ","8% ","4% ","4% ",NA,"4% ","8% ","4% ","15% ","4% ","8% "
"15","Lahj","10% ","15% ","5% ","10% ","15% ",NA,"5% ","5% ","5% ","5% ","5% ","5% ","5% ","5% ","5% "
"16","Marib","9% ","9% ","9% ",NA,"4% ",NA,"4% ","9% ","4% ","9% ","4% ","4% ","17% ","4% ","13% "
"17","Raymah","10% ","10% ",NA,NA,"10% ",NA,NA,NA,"10% ","10% ",NA,"20% ","10% ","20% ",NA
"18","Sa'ada","14% ","5% ","9% ","5% ","9% ","9% ","5% ","5% ","14% ","5% ","5% ","5% ",NA,"5% ","9% "
"19","Sana'a","5% ","10% ","5% ","10% ","10% ","5% ","10% ","5% ","5% ",NA,"5% ","10% ",NA,"10% ","14% "
"20","Shabwah",NA,"4% ","13% ","4% ","17% ",NA,NA,"17% ","9% ","4% ","4% ",NA,"4% ","9% ","13% "
"21","Taizz","11% ",NA,NA,"14% ","9% ",NA,"17% ","14% ",NA,"6% ","11% ","3% ",NA,"14% ",NA
