"","Subset","I don't know","No","Refuse to answer (DO NOT READ)","Yes"
"1","Abyan","31% ","19% ","31% ","19% "
"2","Aden","56% ",NA,"11% ","33% "
"3","Al Bayda","41% ","26% ","21% ","13% "
"4","Al Dhale'e","33% ","33% ","11% ","22% "
"5","Al Hudaydah","17% ","38% ","28% ","17% "
"6","Al Jawf","7% ","21% ","57% ","14% "
"7","Al Maharah","27% ","45% ","9% ","18% "
"8","Al Mahwit","29% ","29% ","14% ","29% "
"9","Amanat Al Asimah","29% ","24% ","18% ","29% "
"10","Amran","38% ","29% ","12% ","21% "
"11","Dhamar","35% ","29% ","6% ","29% "
"12","Hadramaut","24% ","31% ","25% ","20% "
"13","Hajjah","35% ","22% ","20% ","24% "
"14","Ibb","46% ","19% ","15% ","19% "
"15","Lahj","20% ","35% ","10% ","35% "
"16","Marib","30% ","22% ","26% ","22% "
"17","Raymah","20% ","20% ","20% ","40% "
"18","Sa'ada","23% ","27% ","27% ","23% "
"19","Sana'a","33% ","29% ","19% ","19% "
"20","Shabwah","13% ","35% ","35% ","17% "
"21","Taizz","23% ","23% ","31% ","23% "
