"","Subset","A few (around 25%)","About half (around 50%)","Everyone (around 100%)","I don't know","Most (around 75%)","Nobody (around 0%)","Refuse to answer (DO NOT READ)"
"1","Abyan","6% ","12% ","12% ","6% ","38% ","19% ","6% "
"2","Aden","11% ","33% ","22% ","11% ","11% ","11% ",NA
"3","Al Bayda","13% ","18% ","8% ","23% ","21% ","8% ","10% "
"4","Al Dhale'e","44% ","11% ",NA,NA,"22% ",NA,"22% "
"5","Al Hudaydah","14% ","14% ","10% ","34% ","14% ","7% ","7% "
"6","Al Jawf","7% ","14% ","14% ","29% ","14% ",NA,"21% "
"7","Al Maharah","18% ","18% ","9% ","27% ","27% ",NA,NA
"8","Al Mahwit","14% ",NA,NA,"29% ","14% ","29% ","14% "
"9","Amanat Al Asimah","6% ","12% ","24% ","6% ","24% ","24% ","6% "
"10","Amran","12% ","25% ","8% ","8% ","4% ","25% ","17% "
"11","Dhamar","6% ","6% ","12% ",NA,"29% ","35% ","12% "
"12","Hadramaut","10% ","14% ","14% ","8% ","18% ","22% ","16% "
"13","Hajjah","17% ","17% ","13% ","11% ","11% ","15% ","15% "
"14","Ibb","15% ","8% ","23% ","12% ","23% ","15% ","4% "
"15","Lahj","10% ","15% ","30% ","10% ","15% ","10% ","10% "
"16","Marib",NA,"9% ","22% ","17% ","22% ",NA,"30% "
"17","Raymah","10% ","40% ",NA,"30% ","20% ",NA,NA
"18","Sa'ada","5% ","14% ","18% ","14% ","9% ","32% ","9% "
"19","Sana'a","10% ","14% ","14% ","14% ","29% ",NA,"19% "
"20","Shabwah","13% ","13% ","17% ","17% ","17% ","4% ","17% "
"21","Taizz","14% ","9% ","9% ","14% ","29% ","6% ","20% "
